"""Month"",""Index"""
"1988 JAN,""50.2"""
"1988 FEB,""50.4"""
"1988 MAR,""50.6"""
"1988 APR,""51.2"""
"1988 MAY,""51.5"""
"1988 JUN,""51.6"""
"1988 JUL,""51.7"""
"1988 AUG,""51.9"""
"1988 SEP,""52.2"""
"1988 OCT,""52.5"""
"1988 NOV,""52.7"""
"1988 DEC,""52.7"""
"1989 JAN,""52.9"""
"1989 FEB,""53.1"""
"1989 MAR,""53.2"""
"1989 APR,""53.9"""
"1989 MAY,""54.1"""
"1989 JUN,""54.2"""
"1989 JUL,""54.3"""
"1989 AUG,""54.4"""
"1989 SEP,""54.8"""
"1989 OCT,""55.2"""
"1989 NOV,""55.4"""
"1989 DEC,""55.4"""
"1990 JAN,""55.5"""
"1990 FEB,""55.9"""
"1990 MAR,""56.2"""
"1990 APR,""57.1"""
"1990 MAY,""57.6"""
"1990 JUN,""57.8"""
"1990 JUL,""57.9"""
"1990 AUG,""58.3"""
"1990 SEP,""58.7"""
"1990 OCT,""59.1"""
"1990 NOV,""59.4"""
"1990 DEC,""59.4"""
"1991 JAN,""59.4"""
"1991 FEB,""59.7"""
"1991 MAR,""60.0"""
"1991 APR,""62.1"""
"1991 MAY,""62.5"""
"1991 JUN,""62.7"""
"1991 JUL,""62.6"""
"1991 AUG,""63.1"""
"1991 SEP,""63.4"""
"1991 OCT,""63.7"""
"1991 NOV,""63.9"""
"1991 DEC,""64.1"""
"1992 JAN,""63.9"""
"1992 FEB,""64.2"""
"1992 MAR,""64.5"""
"1992 APR,""65.3"""
"1992 MAY,""65.5"""
"1992 JUN,""65.6"""
"1992 JUL,""65.4"""
"1992 AUG,""65.5"""
"1992 SEP,""65.9"""
"1992 OCT,""66.0"""
"1992 NOV,""66.0"""
"1992 DEC,""65.9"""
"1993 JAN,""65.6"""
"1993 FEB,""65.9"""
"1993 MAR,""66.3"""
"1993 APR,""67.1"""
"1993 MAY,""67.3"""
"1993 JUN,""67.3"""
"1993 JUL,""67.1"""
"1993 AUG,""67.5"""
"1993 SEP,""67.9"""
"1993 OCT,""67.9"""
"1993 NOV,""67.7"""
"1993 DEC,""67.7"""
"1994 JAN,""67.4"""
"1994 FEB,""67.8"""
"1994 MAR,""68.0"""
"1994 APR,""68.4"""
"1994 MAY,""68.5"""
"1994 JUN,""68.5"""
"1994 JUL,""68.1"""
"1994 AUG,""68.4"""
"1994 SEP,""68.6"""
"1994 OCT,""68.6"""
"1994 NOV,""68.7"""
"1994 DEC,""68.8"""
"1995 JAN,""68.7"""
"1995 FEB,""69.0"""
"1995 MAR,""69.4"""
"1995 APR,""69.8"""
"1995 MAY,""70.0"""
"1995 JUN,""70.2"""
"1995 JUL,""69.9"""
"1995 AUG,""70.1"""
"1995 SEP,""70.5"""
"1995 OCT,""70.5"""
"1995 NOV,""70.6"""
"1995 DEC,""70.7"""
"1996 JAN,""70.4"""
"1996 FEB,""70.8"""
"1996 MAR,""71.1"""
"1996 APR,""71.5"""
"1996 MAY,""71.7"""
"1996 JUN,""71.8"""
"1996 JUL,""71.5"""
"1996 AUG,""71.7"""
"1996 SEP,""72.1"""
"1996 OCT,""72.2"""
"1996 NOV,""72.3"""
"1996 DEC,""72.4"""
"1997 JAN,""72.0"""
"1997 FEB,""72.3"""
"1997 MAR,""72.6"""
"1997 APR,""72.9"""
"1997 MAY,""73.1"""
"1997 JUN,""73.1"""
"1997 JUL,""72.8"""
"1997 AUG,""73.1"""
"1997 SEP,""73.5"""
"1997 OCT,""73.6"""
"1997 NOV,""73.7"""
"1997 DEC,""73.8"""
"1998 JAN,""73.3"""
"1998 FEB,""73.7"""
"1998 MAR,""73.9"""
"1998 APR,""74.2"""
"1998 MAY,""74.5"""
"1998 JUN,""74.5"""
"1998 JUL,""74.0"""
"1998 AUG,""74.2"""
"1998 SEP,""74.7"""
"1998 OCT,""74.7"""
"1998 NOV,""74.8"""
"1998 DEC,""75.0"""
"1999 JAN,""74.4"""
"1999 FEB,""74.6"""
"1999 MAR,""74.9"""
"1999 APR,""75.1"""
"1999 MAY,""75.3"""
"1999 JUN,""75.3"""
"1999 JUL,""74.8"""
"1999 AUG,""75.0"""
"1999 SEP,""75.4"""
"1999 OCT,""75.2"""
"1999 NOV,""75.3"""
"1999 DEC,""75.4"""
"2000 JAN,""74.6"""
"2000 FEB,""74.9"""
"2000 MAR,""75.0"""
"2000 APR,""75.3"""
"2000 MAY,""75.5"""
"2000 JUN,""75.4"""
"2000 JUL,""74.9"""
"2000 AUG,""75.1"""
"2000 SEP,""75.7"""
"2000 OCT,""75.7"""
"2000 NOV,""75.7"""
"2000 DEC,""75.8"""
"2001 JAN,""75.2"""
"2001 FEB,""75.4"""
"2001 MAR,""75.6"""
"2001 APR,""76.1"""
"2001 MAY,""76.4"""
"2001 JUN,""76.5"""
"2001 JUL,""76.1"""
"2001 AUG,""76.5"""
"2001 SEP,""76.7"""
"2001 OCT,""76.6"""
"2001 NOV,""76.7"""
"2001 DEC,""76.9"""
"2002 JAN,""76.5"""
"2002 FEB,""76.6"""
"2002 MAR,""76.9"""
"2002 APR,""77.1"""
"2002 MAY,""77.4"""
"2002 JUN,""77.5"""
"2002 JUL,""77.2"""
"2002 AUG,""77.5"""
"2002 SEP,""77.7"""
"2002 OCT,""77.8"""
"2002 NOV,""77.8"""
"2002 DEC,""78.2"""
"2003 JAN,""77.6"""
"2003 FEB,""77.8"""
"2003 MAR,""78.0"""
"2003 APR,""78.3"""
"2003 MAY,""78.4"""
"2003 JUN,""78.3"""
"2003 JUL,""78.2"""
"2003 AUG,""78.5"""
"2003 SEP,""78.7"""
"2003 OCT,""78.8"""
"2003 NOV,""78.8"""
"2003 DEC,""79.0"""
"2004 JAN,""78.6"""
"2004 FEB,""78.7"""
"2004 MAR,""78.8"""
"2004 APR,""79.1"""
"2004 MAY,""79.3"""
"2004 JUN,""79.3"""
"2004 JUL,""79.2"""
"2004 AUG,""79.4"""
"2004 SEP,""79.4"""
"2004 OCT,""79.5"""
"2004 NOV,""79.6"""
"2004 DEC,""80.0"""
"2005 JAN,""79.6"""
"2005 FEB,""79.7"""
"2005 MAR,""80.0"""
"2005 APR,""80.3"""
"2005 MAY,""80.5"""
"2005 JUN,""80.5"""
"2005 JUL,""80.6"""
"2005 AUG,""80.8"""
"2005 SEP,""80.8"""
"2005 OCT,""80.9"""
"2005 NOV,""80.9"""
"2005 DEC,""81.2"""
"2006 JAN,""80.7"""
"2006 FEB,""80.9"""
"2006 MAR,""81.0"""
"2006 APR,""81.3"""
"2006 MAY,""81.5"""
"2006 JUN,""81.7"""
"2006 JUL,""81.5"""
"2006 AUG,""81.9"""
"2006 SEP,""82.1"""
"2006 OCT,""82.2"""
"2006 NOV,""82.3"""
"2006 DEC,""82.8"""
"2007 JAN,""82.1"""
"2007 FEB,""82.5"""
"2007 MAR,""82.8"""
"2007 APR,""83.1"""
"2007 MAY,""83.3"""
"2007 JUN,""83.5"""
"2007 JUL,""83.1"""
"2007 AUG,""83.4"""
"2007 SEP,""83.5"""
"2007 OCT,""83.8"""
"2007 NOV,""83.8"""
"2007 DEC,""84.3"""
"2008 JAN,""83.6"""
"2008 FEB,""83.9"""
"2008 MAR,""84.2"""
"2008 APR,""84.7"""
"2008 MAY,""85.1"""
"2008 JUN,""85.4"""
"2008 JUL,""85.3"""
"2008 AUG,""85.8"""
"2008 SEP,""85.9"""
"2008 OCT,""85.9"""
"2008 NOV,""86.0"""
"2008 DEC,""85.7"""
"2009 JAN,""85.2"""
"2009 FEB,""85.8"""
"2009 MAR,""86.2"""
"2009 APR,""86.4"""
"2009 MAY,""86.8"""
"2009 JUN,""87.0"""
"2009 JUL,""87.0"""
"2009 AUG,""87.5"""
"2009 SEP,""87.5"""
"2009 OCT,""87.6"""
"2009 NOV,""87.7"""
"2009 DEC,""88.2"""
"2010 JAN,""87.9"""
"2010 FEB,""88.3"""
"2010 MAR,""88.7"""
"2010 APR,""89.2"""
"2010 MAY,""89.4"""
"2010 JUN,""89.7"""
"2010 JUL,""89.4"""
"2010 AUG,""90.0"""
"2010 SEP,""90.1"""
"2010 OCT,""90.2"""
"2010 NOV,""90.4"""
"2010 DEC,""91.1"""
"2011 JAN,""91.0"""
"2011 FEB,""91.6"""
"2011 MAR,""91.8"""
"2011 APR,""92.8"""
"2011 MAY,""92.9"""
"2011 JUN,""92.8"""
"2011 JUL,""92.8"""
"2011 AUG,""93.4"""
"2011 SEP,""93.6"""
"2011 OCT,""93.7"""
"2011 NOV,""93.7"""
"2011 DEC,""94.1"""
"2012 JAN,""93.6"""
"2012 FEB,""94.2"""
"2012 MAR,""94.4"""
"2012 APR,""95.1"""
"2012 MAY,""95.2"""
"2012 JUN,""94.9"""
"2012 JUL,""95.1"""
"2012 AUG,""95.5"""
"2012 SEP,""95.7"""
"2012 OCT,""96.3"""
"2012 NOV,""96.4"""
"2012 DEC,""96.6"""
"2013 JAN,""96.1"""
"2013 FEB,""96.5"""
"2013 MAR,""96.9"""
"2013 APR,""97.2"""
"2013 MAY,""97.6"""
"2013 JUN,""97.3"""
"2013 JUL,""97.2"""
"2013 AUG,""97.6"""
"2013 SEP,""98.0"""
"2013 OCT,""98.2"""
"2013 NOV,""98.3"""
"2013 DEC,""98.4"""
"2014 JAN,""97.8"""
"2014 FEB,""98.3"""
"2014 MAR,""98.6"""
"2014 APR,""99.1"""
"2014 MAY,""99.1"""
"2014 JUN,""99.4"""
"2014 JUL,""99.0"""
"2014 AUG,""99.5"""
"2014 SEP,""99.5"""
"2014 OCT,""99.7"""
"2014 NOV,""99.5"""
"2014 DEC,""99.7"""
"2015 JAN,""99.0"""
"2015 FEB,""99.4"""
"2015 MAR,""99.5"""
"2015 APR,""99.8"""
"2015 MAY,""99.9"""
"2015 JUN,""100.0"""
"2015 JUL,""99.9"""
"2015 AUG,""100.3"""
"2015 SEP,""100.3"""
"2015 OCT,""100.6"""
"2015 NOV,""100.5"""
"2015 DEC,""100.8"""
"2016 JAN,""100.0"""
"2016 FEB,""100.3"""
"2016 MAR,""100.8"""
"2016 APR,""100.8"""
"2016 MAY,""100.9"""
"2016 JUN,""101.1"""
"2016 JUL,""101.0"""
"2016 AUG,""101.4"""
"2016 SEP,""101.6"""
"2016 OCT,""101.6"""
"2016 NOV,""101.7"""
"2016 DEC,""102.3"""
"2017 JAN,""101.5"""
"2017 FEB,""102.2"""
"2017 MAR,""102.7"""
"2017 APR,""103.2"""
"2017 MAY,""103.6"""
"2017 JUN,""103.6"""
"2017 JUL,""103.6"""
"2017 AUG,""104.1"""
"2017 SEP,""104.4"""
"2017 OCT,""104.4"""
"2017 NOV,""104.7"""
"2017 DEC,""105.0"""
"2018 JAN,""104.4"""
"2018 FEB,""104.9"""
"2018 MAR,""105.1"""
"2018 APR,""105.5"""
"2018 MAY,""105.9"""
"2018 JUN,""105.7"""
"2018 JUL,""105.7"""
"2018 AUG,""106.5"""
"2018 SEP,""106.5"""
"2018 OCT,""106.4"""
"2018 NOV,""106.7"""
"2018 DEC,""107.1"""
"2019 JAN,""106.4"""
"2019 FEB,""107.0"""
"2019 MAR,""107.2"""
"2019 APR,""107.5"""
"2019 MAY,""107.7"""
"2019 JUN,""107.7"""
"2019 JUL,""107.7"""
"2019 AUG,""108.2"""
"2019 SEP,""108.3"""
"2019 OCT,""108.4"""
"2019 NOV,""108.6"""
"2019 DEC,""108.6"""
"2020 JAN,""108.1"""
"2020 FEB,""108.7"""
"2020 MAR,""108.9"""
