"Date","End Month Effective exchange rate index, Sterling (Jan 2005 = 100)              [a] [a] [a] [a] [a] [a] [a]             XUMLBK67"
"31 May 26","84.8852"
"30 Apr 26","85.364"
"31 Mar 26","83.9712"
"28 Feb 26","83.972"
"31 Jan 26","85.5032"
"31 Dec 25","84.5895"
"30 Nov 25","83.9984"
"31 Oct 25","83.5118"
"30 Sep 25","84.6614"
"31 Aug 25","85.0702"
"31 Jul 25","84.4717"
"30 Jun 25","86.0158"
"31 May 25","86.121"
"30 Apr 25","85.3478"
"31 Mar 25","84.9471"
"28 Feb 25","84.5521"
"31 Jan 25","83.5666"
"31 Dec 24","84.5024"
"30 Nov 24","84.3704"
"31 Oct 24","84.0251"
"30 Sep 24","85.7954"
"31 Aug 24","84.631"
"31 Jul 24","84.1174"
"30 Jun 24","83.381"
"31 May 24","83.3199"
"30 Apr 24","82.7453"
"31 Mar 24","82.8315"
"29 Feb 24","82.574"
"31 Jan 24","82.6956"
"31 Dec 23","81.7504"
"30 Nov 23","81.9773"
"31 Oct 23","80.4355"
"30 Sep 23","80.6653"
"31 Aug 23","82.5004"
"31 Jul 23","82.5902"
"30 Jun 23","82.41"
"31 May 23","80.7484"
"30 Apr 23","79.9978"
"31 Mar 23","79.1642"
"28 Feb 23","78.6026"
"31 Jan 23","78.457"
"31 Dec 22","77.7055"
"30 Nov 22","78.7581"
"31 Oct 22","78.3854"
"30 Sep 22","76.0523"
"31 Aug 22","77.4541"
"31 Jul 22","79.8996"
"30 Jun 22","78.7589"
"31 May 22","80.2714"
"30 Apr 22","80.4074"
"31 Mar 22","81.2604"
"28 Feb 22","82.297"
"31 Jan 22","82.3616"
"31 Dec 21","82.3966"
"30 Nov 21","81.0544"
"31 Oct 21","82.1786"
"30 Sep 21","80.8707"
"31 Aug 21","81.5072"
"31 Jul 21","82.1855"
"30 Jun 21","81.6644"
"31 May 21","82.3051"
"30 Apr 21","81.0481"
"31 Mar 21","82.0933"
"28 Feb 21","81.3116"
"31 Jan 21","79.6911"
"31 Dec 20","78.937"
"30 Nov 20","78.5247"
"31 Oct 20","77.681"
"30 Sep 20","77.3704"
"31 Aug 20","79.068"
"31 Jul 20","78.1768"
"30 Jun 20","76.0275"
"31 May 20","76.6811"
"30 Apr 20","78.871"
"31 Mar 20","77.6582"
"29 Feb 20","79.2946"
"31 Jan 20","81.1642"
"31 Dec 19","80.7422"
"30 Nov 19","80.0245"
"31 Oct 19","79.4217"
"30 Sep 19","76.798"
"31 Aug 19","75.538"
"31 Jul 19","75.0371"
"30 Jun 19","76.9045"
"31 May 19","77.362"
"30 Apr 19","79.6691"
"31 Mar 19","79.3028"
"28 Feb 19","80.2517"
"31 Jan 19","78.8646"
"31 Dec 18","76.8168"
"30 Nov 18","77.4536"
"31 Oct 18","77.8024"
"30 Sep 18","78.1172"
"31 Aug 18","77.8045"
"31 Jul 18","77.847"
"30 Jun 18","78.2201"
"31 May 18","78.3525"
"30 Apr 18","79.3731"
"31 Mar 18","79.7159"
"28 Feb 18","78.5829"
"31 Jan 18","79.8931"
"31 Dec 17","78.1304"
"30 Nov 17","78.7328"
"31 Oct 17","78.2988"
"30 Sep 17","78.3081"
"31 Aug 17","74.7282"
"31 Jul 17","76.999"
"30 Jun 17","77.4526"
"31 May 17","77.6263"
"30 Apr 17","79.3661"
"31 Mar 17","77.422"
"28 Feb 17","77.3639"
"31 Jan 17","77.6039"
"31 Dec 16","77.3769"
"30 Nov 16","78.1338"
"31 Oct 16","74.376"
"30 Sep 16","77.674"
"31 Aug 16","78.8748"
"31 Jul 16","79.6456"
"30 Jun 16","80.6192"
"31 May 16","87.7987"
"30 Apr 16","86.3996"
"31 Mar 16","85.1429"
"29 Feb 16","85.3581"
"31 Jan 16","87.4889"
"31 Dec 15","90.4205"
"30 Nov 15","93.4143"
"31 Oct 15","93.1742"
"30 Sep 15","91.0074"
"31 Aug 15","91.8952"
"31 Jul 15","93.5908"
"30 Jun 15","93.3964"
"31 May 15","91.3999"
"30 Apr 15","90.6789"
"31 Mar 15","89.9674"
"28 Feb 15","91.4063"
"31 Jan 15","88.5426"
"31 Dec 14","88.2543"
"30 Nov 14","86.6031"
"31 Oct 14","87.7548"
"30 Sep 14","88.3381"
"31 Aug 14","87.8306"
"31 Jul 14","88.5143"
