Period;Started - All Dwellings
Jan - Mar 1978;55.140
Apr - Jun 1978;84.170
Jul - Sep 1978;70.780
Oct - Dec 1978;62.380
Jan - Mar 1979;39.910
Apr - Jun 1979;66.830
Jul - Sep 1979;64.800
Oct - Dec 1979;60.160
Jan - Mar 1980;41.520
Apr - Jun 1980;48.180
Jul - Sep 1980;39.320
Oct - Dec 1980;31.330
Jan - Mar 1981;34.640
Apr - Jun 1981;43.630
Jul - Sep 1981;43.900
Oct - Dec 1981;36.710
Jan - Mar 1982;46.410
Apr - Jun 1982;55.000
Jul - Sep 1982;52.550
Oct - Dec 1982;46.830
Jan - Mar 1983;56.950
Apr - Jun 1983;65.240
Jul - Sep 1983;56.170
Oct - Dec 1983;50.240
Jan - Mar 1984;51.570
Apr - Jun 1984;58.790
Jul - Sep 1984;52.500
Oct - Dec 1984;41.980
Jan - Mar 1985;44.250
Apr - Jun 1985;58.140
Jul - Sep 1985;55.180
Oct - Dec 1985;48.840
Jan - Mar 1986;45.360
Apr - Jun 1986;62.120
Jul - Sep 1986;61.080
Oct - Dec 1986;49.300
Jan - Mar 1987;54.890
Apr - Jun 1987;62.990
Jul - Sep 1987;62.980
Oct - Dec 1987;53.810
Jan - Mar 1988;61.090
Apr - Jun 1988;72.260
Jul - Sep 1988;65.580
Oct - Dec 1988;60.210
Jan - Mar 1989;56.550
Apr - Jun 1989;61.120
Jul - Sep 1989;49.540
Oct - Dec 1989;40.640
Jan - Mar 1990;45.550
Apr - Jun 1990;46.680
Jul - Sep 1990;42.570
Oct - Dec 1990;36.830
Jan - Mar 1991;41.070
Apr - Jun 1991;47.150
Jul - Sep 1991;44.870
Oct - Dec 1991;37.590
Jan - Mar 1992;43.130
Apr - Jun 1992;46.230
Jul - Sep 1992;41.500
Oct - Dec 1992;33.290
Jan - Mar 1993;50.190
Apr - Jun 1993;52.370
Jul - Sep 1993;47.980
Oct - Dec 1993;42.830
Jan - Mar 1994;53.940
Apr - Jun 1994;59.470
Jul - Sep 1994;53.480
Oct - Dec 1994;44.090
Jan - Mar 1995;47.630
Apr - Jun 1995;51.710
Jul - Sep 1995;44.380
Oct - Dec 1995;34.660
Jan - Mar 1996;44.470
Apr - Jun 1996;48.330
Jul - Sep 1996;49.120
Oct - Dec 1996;43.900
Jan - Mar 1997;53.740
Apr - Jun 1997;53.050
Jul - Sep 1997;49.950
Oct - Dec 1997;44.070
Jan - Mar 1998;51.080
Apr - Jun 1998;49.590
Jul - Sep 1998;48.600
Oct - Dec 1998;38.640
Jan - Mar 1999;49.880
Apr - Jun 1999;49.570
Jul - Sep 1999;48.360
Oct - Dec 1999;43.330
Jan - Mar 2000;51.660
Apr - Jun 2000;49.560
Jul - Sep 2000;47.270
Oct - Dec 2000;37.690
Jan - Mar 2001;48.960
Apr - Jun 2001;51.450
Jul - Sep 2001;49.630
Oct - Dec 2001;42.030
Jan - Mar 2002;51.030
Apr - Jun 2002;50.030
Jul - Sep 2002;51.600
Oct - Dec 2002;41.710
Jan - Mar 2003;53.770
Apr - Jun 2003;54.200
Jul - Sep 2003;53.190
Oct - Dec 2003;47.340
Jan - Mar 2004;58.460
Apr - Jun 2004;60.190
Jul - Sep 2004;58.150
Oct - Dec 2004;51.200
Jan - Mar 2005;55.010
Apr - Jun 2005;59.440
Jul - Sep 2005;57.240
Oct - Dec 2005;52.750
