observation_date,T10Y3M
1960-01-01,0.79
1960-02-01,0.85
1960-03-01,0.97
1960-04-01,1.02
1960-05-01,1.13
1960-06-01,0.36
1960-07-01,0.46
1960-08-01,0.44
1960-09-01,0.53
1960-10-01,1.01
1960-11-01,1.5
1960-12-01,1.82
1961-01-01,1.98
1961-02-01,1.6
1961-03-01,1.57
1961-04-01,1.62
1961-05-01,1.65
1961-06-01,1.8
1961-07-01,-0.13
1961-08-01,-0.01
1961-09-01,0.13
1961-10-01,0.38
1961-11-01,0.82
1961-12-01,0.85
1962-01-01,0.96
1962-02-01,0.74
1962-03-01,1.86
1962-04-01,2.23
1962-05-01,2.46
1962-06-01,2.27
1962-07-01,1.92
1962-08-01,1.87
1962-09-01,1.25
1962-10-01,1.19
1962-11-01,1.48
1962-12-01,1.42
1963-01-01,1.74
1963-02-01,2.0
1963-03-01,1.69
1963-04-01,1.58
1963-05-01,1.53
1963-06-01,1.38
1963-07-01,1.3
1963-08-01,1.24
1963-09-01,1.23
1963-10-01,1.23
1963-11-01,1.47
1963-12-01,1.52
1964-01-01,1.51
1964-02-01,1.14
1964-03-01,1.16
1964-04-01,1.19
1964-05-01,1.17
1964-06-01,1.18
1964-07-01,1.11
1964-08-01,1.09
1964-09-01,1.12
1964-10-01,1.14
1964-11-01,-0.56
1964-12-01,-0.25
1965-01-01,-0.19
1965-02-01,-0.08
1965-03-01,-0.03
1965-04-01,0.22
1965-05-01,0.33
1965-06-01,1.19
1965-07-01,1.16
1965-08-01,1.12
1965-09-01,0.98
1965-10-01,0.99
1965-11-01,1.01
1965-12-01,1.07
1966-01-01,0.94
1966-02-01,0.93
1966-03-01,1.13
1966-04-01,1.06
1966-05-01,1.1
1966-06-01,1.27
1966-07-01,0.66
1966-08-01,0.76
1966-09-01,0.25
1966-10-01,0.41
1966-11-01,0.12
1966-12-01,0.1
1967-01-01,0.49
1967-02-01,0.36
1967-03-01,0.93
1967-04-01,0.96
1967-05-01,1.17
1967-06-01,1.36
1967-07-01,1.46
1967-08-01,1.42
1967-09-01,1.26
1967-10-01,1.17
1967-11-01,-0.45
1967-12-01,-0.17
1968-01-01,-0.22
1968-02-01,-0.1
1968-03-01,0.19
1968-04-01,0.19
1968-05-01,0.12
1968-06-01,0.37
1968-07-01,0.63
1968-08-01,0.6
1968-09-01,0.92
1968-10-01,1.03
1968-11-01,0.94
1968-12-01,1.23
1969-01-01,1.53
1969-02-01,0.69
1969-03-01,0.88
1969-04-01,0.85
1969-05-01,1.12
1969-06-01,1.41
1969-07-01,1.15
1969-08-01,1.23
1969-09-01,1.25
1969-10-01,1.1
1969-11-01,1.18
1969-12-01,1.26
1970-01-01,1.38
1970-02-01,1.09
1970-03-01,1.36
1970-04-01,1.78
1970-05-01,1.94
1970-06-01,2.0
1970-07-01,1.67
1970-08-01,1.51
1970-09-01,1.62
1970-10-01,1.61
1970-11-01,1.87
1970-12-01,2.11
1971-01-01,2.03
1971-02-01,1.87
1971-03-01,1.72
1971-04-01,2.53
1971-05-01,2.46
1971-06-01,2.55
1971-07-01,2.15
1971-08-01,1.88
1971-09-01,2.72
1971-10-01,2.68
1971-11-01,2.77
1971-12-01,2.68
1972-01-01,2.68
1972-02-01,2.69
1972-03-01,3.08
1972-04-01,3.17
1972-05-01,3.55
1972-06-01,3.31
1972-07-01,3.14
1972-08-01,3.22
1972-09-01,2.66
1972-10-01,2.21
1972-11-01,2.16
1972-12-01,1.05
1973-01-01,1.04
1973-02-01,1.27
1973-03-01,1.84
1973-04-01,1.99
1973-05-01,2.54
1973-06-01,2.92
1973-07-01,-0.46
1973-08-01,0.25
1973-09-01,0.54
1973-10-01,0.62
1973-11-01,-0.37
1973-12-01,0.22
1974-01-01,0.97
1974-02-01,1.64
1974-03-01,1.53
1974-04-01,2.34
1974-05-01,2.12
1974-06-01,2.57
1974-07-01,2.98
1974-08-01,3.27
1974-09-01,3.19
1974-10-01,3.72
1974-11-01,4.78
1974-12-01,5.33
1975-01-01,4.8059
1975-02-01,3.5596
1975-03-01,2.8706
1975-04-01,3.1797
1975-05-01,3.6641
1975-06-01,3.5074
1975-07-01,2.3228
1975-08-01,2.3895
1975-09-01,2.2765
1975-10-01,2.0997
1975-11-01,2.672
1975-12-01,2.7992
1976-01-01,3.3413
1976-02-01,3.5139
1976-03-01,4.1323
1976-04-01,2.5268
1976-05-01,1.3717
1976-06-01,2.4581
1976-07-01,2.6907
1976-08-01,2.7297
1976-09-01,1.8052
1976-10-01,1.2363
1976-11-01,1.4258
1976-12-01,1.6606
1977-01-01,2.3314
1977-02-01,2.5738
1977-03-01,3.6757
1977-04-01,4.6827
1977-05-01,4.4263
1977-06-01,5.0698
1977-07-01,5.5692
1977-08-01,5.8716
1977-09-01,5.7287
1977-10-01,5.8324
1977-11-01,4.2935
1977-12-01,4.4069
1978-01-01,4.8408
1978-02-01,4.4145
1978-03-01,5.2038
1978-04-01,4.9112
1978-05-01,3.7975
1978-06-01,3.2074
1978-07-01,3.2564
1978-08-01,3.1834
1978-09-01,3.2141
1978-10-01,2.4354
1978-11-01,1.524
1978-12-01,1.5565
1979-01-01,1.4637
1979-02-01,1.7619
1979-03-01,0.6403
1979-04-01,0.1037
1979-05-01,0.3291
1979-06-01,-0.7695
1979-07-01,-1.0059
1979-08-01,-1.0797
1979-09-01,-0.8038
