"""Month"",""Index"""
"1948 JAN,""27.2"""
"1948 FEB,""27.2"""
"1948 MAR,""27.2"""
"1948 APR,""27.1"""
"1948 MAY,""27.2"""
"1948 JUN,""27.4"""
"1948 JUL,""27.7"""
"1948 AUG,""28.0"""
"1948 SEP,""28.1"""
"1948 OCT,""28.2"""
"1948 NOV,""28.2"""
"1948 DEC,""28.4"""
"1949 JAN,""28.5"""
"1949 FEB,""28.7"""
"1949 MAR,""28.9"""
"1949 APR,""29.1"""
"1949 MAY,""29.3"""
"1949 JUN,""29.6"""
"1949 JUL,""29.8"""
"1949 AUG,""30.0"""
"1949 SEP,""30.0"""
"1949 OCT,""30.0"""
"1949 NOV,""30.0"""
"1949 DEC,""30.1"""
"1950 JAN,""30.3"""
"1950 FEB,""30.5"""
"1950 MAR,""30.8"""
"1950 APR,""31.0"""
"1950 MAY,""31.4"""
"1950 JUN,""31.7"""
"1950 JUL,""32.1"""
"1950 AUG,""32.2"""
"1950 SEP,""32.2"""
"1950 OCT,""32.1"""
"1950 NOV,""32.0"""
"1950 DEC,""32.1"""
"1951 JAN,""32.2"""
"1951 FEB,""32.2"""
"1951 MAR,""32.1"""
"1951 APR,""31.9"""
"1951 MAY,""32.0"""
"1951 JUN,""32.6"""
"1951 JUL,""33.3"""
"1951 AUG,""33.6"""
"1951 SEP,""33.4"""
"1951 OCT,""32.9"""
"1951 NOV,""32.3"""
"1951 DEC,""31.9"""
"1952 JAN,""31.7"""
"1952 FEB,""31.6"""
"1952 MAR,""31.4"""
"1952 APR,""31.2"""
"1952 MAY,""30.9"""
"1952 JUN,""30.6"""
"1952 JUL,""30.5"""
"1952 AUG,""30.6"""
"1952 SEP,""31.0"""
"1952 OCT,""31.6"""
"1952 NOV,""32.0"""
"1952 DEC,""32.3"""
"1953 JAN,""32.4"""
"1953 FEB,""32.5"""
"1953 MAR,""32.7"""
"1953 APR,""32.9"""
"1953 MAY,""32.9"""
"1953 JUN,""32.8"""
"1953 JUL,""32.7"""
"1953 AUG,""32.9"""
"1953 SEP,""33.5"""
