Key,Value
Mode,oos
WindowType,expanding
ReportLag,1
NumLags,1
NumPredictors,11
MinInSample,120
AR_R2_OOS,-0.004377316385486996
AR_CW_stat,
AR_CW_p,
AR_DM_stat,-0.6502720067188349
AR_DM_p,0.5167195177233983
AR_RMSE,0.002481768376803546
AR_MAE,0.001989128438703477
AR_Cor,-0.10587728485803768
AR_HitRate,0.472
AR_NumObs,125
VARX_R2_OOS,-0.09593193039739267
VARX_CW_stat,
VARX_CW_p,
VARX_DM_stat,-2.2352905011887843
VARX_DM_p,0.02718795734680175
VARX_RMSE,0.002592415376637154
VARX_MAE,0.0020823753299912344
VARX_Cor,-0.07334091862976323
VARX_HitRate,0.432
VARX_NumObs,125
