Key,Value
Mode,oos
WindowType,expanding
ReportLag,1
NumLags,1
NumPredictors,11
MinInSample,120
AR_R2_OOS,0.10045884150710993
AR_CW_stat,3.9915878611747493
AR_CW_p,3.897536309636492e-05
AR_DM_stat,2.165388017756718
AR_DM_p,0.030942620695422057
AR_RMSE,0.0026858109207006232
AR_MAE,0.0018900052797242665
AR_Cor,0.31241360215223535
AR_HitRate,0.5506172839506173
AR_NumObs,405
VARX_R2_OOS,0.06919935415265244
VARX_CW_stat,3.7424034416099103
VARX_CW_p,0.00010433797995192229
VARX_DM_stat,1.1363732637548936
VARX_DM_p,0.25647399473378585
VARX_RMSE,0.002732079003671365
VARX_MAE,0.0019234661210899748
VARX_Cor,0.3157448530920592
VARX_HitRate,0.5654320987654321
VARX_NumObs,405
