Key,Value
Mode,oos
WindowType,rolling
ReportLag,1
NumLags,10
NumPredictors,11
MinInSample,120
AR_R2_OOS,0.04857860430682559
AR_CW_stat,3.492083172139571
AR_CW_p,0.00026622479711544404
AR_DM_stat,0.5389066295157968
AR_DM_p,0.5902495879423582
AR_RMSE,0.002758981176837267
AR_MAE,0.001892903863229619
AR_Cor,0.3176074219856235
AR_HitRate,0.6029776674937966
AR_NumObs,403
VARX_R2_OOS,-0.06958088596193956
VARX_CW_stat,
VARX_CW_p,
VARX_DM_stat,-0.6175651085742014
VARX_DM_p,0.5372117112013826
VARX_RMSE,0.002925291150142814
VARX_MAE,0.002024345688377662
VARX_Cor,0.3291354013317329
VARX_HitRate,0.6104218362282878
VARX_NumObs,403
