Key,Value
Mode,oos
WindowType,expanding
ReportLag,1
NumLags,1
NumPredictors,11
MinInSample,120
AR_R2_OOS,0.06745022264503764
AR_CW_stat,3.9706892589026177
AR_CW_p,4.239877888494504e-05
AR_DM_stat,1.9703644564311582
AR_DM_p,0.049477373310733
AR_RMSE,0.0033134946956734973
AR_MAE,0.0024702861713751132
AR_Cor,0.25432438282852726
AR_HitRate,0.5566502463054187
AR_NumObs,406
VARX_R2_OOS,0.04559760679194225
VARX_CW_stat,3.9052244086718035
VARX_CW_p,5.5133797281288565e-05
VARX_DM_stat,1.0587884601825261
VARX_DM_p,0.2903271962083449
VARX_RMSE,0.003352092761016198
VARX_MAE,0.002506878985999275
VARX_Cor,0.25690686820601855
VARX_HitRate,0.5566502463054187
VARX_NumObs,406
