Key,Value
Mode,oos
WindowType,rolling
ReportLag,1
NumLags,10
NumPredictors,11
MinInSample,120
AR_R2_OOS,0.12592873309281605
AR_CW_stat,4.3389996177780725
AR_CW_p,9.063662155319109e-06
AR_DM_stat,1.55589842741596
AR_DM_p,0.12051913352257558
AR_RMSE,0.0032106105441879053
AR_MAE,0.0024384046040852687
AR_Cor,0.3858937833091101
AR_HitRate,0.6153846153846154
AR_NumObs,403
VARX_R2_OOS,0.04750233444176477
VARX_CW_stat,4.761321867941036
VARX_CW_p,1.344397191745062e-06
VARX_DM_stat,0.5208717024830629
VARX_DM_p,0.602742930652322
VARX_RMSE,0.0033515535717575646
VARX_MAE,0.002574157695379618
VARX_Cor,0.37339574535436604
VARX_HitRate,0.5707196029776674
VARX_NumObs,403
