Key,Value
Mode,oos
WindowType,rolling
ReportLag,1
OptimalLookback,True
NumLags,1
NumPredictors,11
MinInSample,120
AR_R2_OOS,-0.031210481709317728
AR_CW_stat,
AR_CW_p,
AR_DM_stat,-0.6426220911802525
AR_DM_p,0.5206489773693386
AR_RMSE,0.002755282559898318
AR_MAE,0.0019302962760941419
AR_Cor,0.17985995279641107
AR_HitRate,0.5274056029232643
AR_NumObs,822
AR_Lookback_median,2.0
VARX_R2_OOS,-0.13290458645047654
VARX_CW_stat,
VARX_CW_p,
VARX_DM_stat,-1.1146182123783641
VARX_DM_p,0.26567998487399097
VARX_RMSE,0.0030106408368369177
VARX_MAE,0.002077879832977903
VARX_Cor,0.29400512195612094
VARX_HitRate,0.5905707196029777
VARX_NumObs,404
VARX_Lookback_median,7.0
