Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff3_lag2,1998-05-01,2021-04-01,276,-0.05904933903418619,,,-1.53620450756507,0.1256379515052626,0.002647507280299168,0.0020116776361592185,-0.21887274924533548,0.5144927536231884,-0.0037930999593385195,0.0025775148096678292,
CoreCPI_adj_pct1_diff1_lag1,1998-05-01,2026-04-01,336,0.00015524062785299275,0.7476365713850261,0.22760193752820806,0.017080975419677857,0.9863821844198875,0.0029231797643356995,0.002187246750694983,0.01941412466560427,0.5208333333333334,0.0021240475708883544,0.002920300311049396,0.1837525794404673
GBP_pct1,2000-03-01,2026-04-01,314,-0.0014084195961050483,,,-0.09793959522614569,0.9220429462870599,0.002957329109645098,0.0021984061367741675,0.036131789251620146,0.535031847133758,0.003450188661106912,0.0029501462390281947,0.1228374867398815
RiskFree_diff1,2007-03-01,2026-04-01,230,-0.0012288556932662509,,,-0.15252022597022877,0.8789109357592598,0.003171473508720153,0.00237905467972909,-0.019918078512867737,0.4956521739130435,-0.000512468480341699,0.00317033869842709,
Housing_pct3_lag3,1998-05-01,2026-04-01,309,-0.007840709440404936,,,-0.8320255779307242,0.40603912804920983,0.002651595068523533,0.0020730135422599707,-0.03761673432519622,0.49838187702265374,-0.0021826824054540506,0.0026441415531931385,
M2MoneySupply_pct1_lag1,1998-05-01,2026-04-01,336,-0.013302674252887003,,,-1.1097319187333683,0.2679105220452001,0.002942787012733491,0.002202706252629411,-0.028104080420457873,0.49404761904761907,0.0021240475708883544,0.002920300311049396,0.1837525794404673
Payroll_pct1_lag2,1998-05-01,2026-04-01,336,-0.0022701518990262404,,,-0.2515267657885015,0.8015610954008638,0.0029267230963909516,0.0021811160827214346,0.0037630981672545764,0.5267857142857143,0.0021240475708883544,0.002920300311049396,0.1837525794404673
T10Y3M_diff1,1998-05-01,2017-07-01,231,-0.008911492216024719,,,-0.5763523116375848,0.5649406515020327,0.002409209241575612,0.0018911702941868816,-0.02612762132679055,0.5238095238095238,-0.0023475936930175134,0.0024013593905445924,
TradeSales_pct1_lag2,1998-05-01,2026-04-01,336,-0.008380144124331634,,,-0.37845932828779383,0.7053291218487852,0.0029356304178572404,0.0021928710654914745,-0.010755442102068087,0.5238095238095238,0.0021240475708883544,0.002920300311049396,0.1837525794404673
Unemployment_diff1_lag2,1998-05-01,2026-04-01,336,-0.0017963190381593552,,,-0.1928148045836042,0.8472208479076996,0.0029260311963493477,0.002190215855732894,0.005445282267892507,0.5029761904761905,0.0021240475708883544,0.002920300311049396,0.1837525794404673
Yield10Y_diff1,1998-05-01,2026-04-01,336,-0.0006202407165496471,,,-0.029431293676863153,0.9765381403381503,0.0029243131562824774,0.002185427744495011,0.04241019601749769,0.5208333333333334,0.0021240475708883544,0.002920300311049396,0.1837525794404673
