Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff3_lag2,2007-03-01,2017-07-01,125,-0.015487941603187005,,,-0.6736257648736398,0.5018029557732608,0.0024954575349855446,0.0020200823048351756,-0.07066069367789525,0.48,-0.004377316385486996,0.002481768376803546,
CoreCPI_adj_pct1_diff1_lag1,2007-03-01,2017-07-01,125,-0.00822352418144967,,,-0.39566485667679735,0.6930321989985404,0.002486515734089223,0.002003447996344827,4.8884824134966544e-05,0.536,-0.004377316385486996,0.002481768376803546,
GBP_pct1,2007-03-01,2017-07-01,125,-0.01513363919597377,,,-1.3949075174084682,0.16553736167475422,0.002495022166081409,0.001998324346257755,-0.17730775682336747,0.456,-0.004377316385486996,0.002481768376803546,
RiskFree_diff1,2007-03-01,2017-07-01,125,-0.0087169451131901,,,-1.276265386125996,0.20424696545109539,0.0024871241055503283,0.001993894376066376,-0.1574219199580923,0.432,-0.004377316385486996,0.002481768376803546,
Housing_pct3_lag3,2007-03-01,2017-07-01,125,-0.020719731861483348,,,-1.7274909553266031,0.08656933288151579,0.0025018775707743943,0.002019131814968479,-0.16102063697411523,0.432,-0.004377316385486996,0.002481768376803546,
M2MoneySupply_pct1_lag1,2007-03-01,2017-07-01,125,0.003954695553148202,1.053246301740264,0.1471380829248763,0.17903007186011888,0.8582062847052178,0.0024714529370346012,0.0019617224033945243,0.07425073985330627,0.536,-0.004377316385486996,0.002481768376803546,
Payroll_pct1_lag2,2007-03-01,2017-07-01,125,-0.0213581073982112,,,-2.0644772651448484,0.04105748635419989,0.0025026598069485526,0.0019979994439939556,-0.2134529212508714,0.48,-0.004377316385486996,0.002481768376803546,
T10Y3M_diff1,2007-03-01,2017-07-01,125,-0.020330292985829557,,,-1.5579994878199117,0.12178201488378486,0.002501400250061246,0.001998082605051478,-0.20567917382578854,0.48,-0.004377316385486996,0.002481768376803546,
TradeSales_pct1_lag2,2007-03-01,2017-07-01,125,-0.012053647242135535,,,-1.063601180363824,0.28957627778138323,0.002491234248062934,0.001992479064265638,-0.11290446892702954,0.48,-0.004377316385486996,0.002481768376803546,
Unemployment_diff1_lag2,2007-03-01,2017-07-01,125,-0.018374323917434765,,,-2.2180063574943696,0.028375304419104293,0.0024990015128073667,0.0020127467821975586,-0.23052024370511315,0.448,-0.004377316385486996,0.002481768376803546,
Yield10Y_diff1,2007-03-01,2017-07-01,125,-0.01063204722518618,,,-1.5412151490255335,0.12581255787860207,0.002489483953893631,0.0019960275806852673,-0.17403116302286795,0.456,-0.004377316385486996,0.002481768376803546,
