Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff3_lag2,1998-05-01,2021-04-01,276,-0.09498323865443381,,,-1.4735374225750715,0.1417498936783473,0.0026982792873497833,0.002035475550121009,-0.22821042250304224,0.47101449275362317,-0.014077132801636916,0.0025966813501368913,
CoreCPI_adj_pct1_diff1_lag1,1998-05-01,2026-04-01,336,-0.01192398465507205,,,-0.6621794224441752,0.5083115047022524,0.0029480901000217496,0.002200449419142992,-0.005711803750913546,0.5267857142857143,-0.007167408638568684,0.0029411531500258816,
GBP_pct1,2000-03-01,2026-04-01,314,-0.014819391715493513,,,-1.3694054782820995,0.17185428844703185,0.0029841839202429726,0.0022118111033065653,-0.07025122516060663,0.49044585987261147,-0.004197411647926419,0.00296852530952694,
RiskFree_diff1,2007-03-01,2026-04-01,230,-0.019386821999607395,,,-0.4684833482941327,0.6398845986424789,0.003206604163938439,0.002427077774199654,0.03590643126447546,0.4826086956521739,-0.0025375421560898115,0.003179993022242925,
Housing_pct3_lag3,1998-05-01,2026-04-01,309,-0.027951955284502894,,,-2.2629959311642778,0.02433194714752573,0.002683815345243247,0.0020954215253603647,-0.12124477217857829,0.4401294498381877,-0.012586473923395847,0.0026636814370155377,
M2MoneySupply_pct1_lag1,1998-05-01,2026-04-01,336,-0.011605034573943351,,,-0.8277845273281863,0.4083818369386639,0.002947625456582268,0.0021974166696126785,0.0011368226447641511,0.5297619047619048,-0.007167408638568684,0.0029411531500258816,
Payroll_pct1_lag2,1998-05-01,2026-04-01,336,-0.01876327644621978,,,-1.4723066030346517,0.14187694211696686,0.0029580359530231317,0.0022029133327058975,-0.07394328938651477,0.47619047619047616,-0.007167408638568684,0.0029411531500258816,
T10Y3M_diff1,1998-05-01,2017-07-01,231,-0.027159384452139168,,,-1.685848509559812,0.09318105351839424,0.0024358824827615797,0.001908100843562262,-0.09421987891240455,0.47619047619047616,-0.01275154632815001,0.002418738238672011,
TradeSales_pct1_lag2,1998-05-01,2026-04-01,336,-0.02747718804716648,,,-0.6746645779808561,0.5003542215163879,0.002970659680482971,0.002215685094952376,-0.034991755504811525,0.48214285714285715,-0.007167408638568684,0.0029411531500258816,
Unemployment_diff1_lag2,1998-05-01,2026-04-01,336,-0.02104212066756861,,,-1.9694914887578678,0.049720318938173275,0.002961342480588344,0.0022165202416265808,-0.1063241797615255,0.4642857142857143,-0.007167408638568684,0.0029411531500258816,
Yield10Y_diff1,1998-05-01,2026-04-01,336,-0.02336106547406458,,,-0.666144990736058,0.505776887532838,0.0029647034071041338,0.0022027780154656625,-0.04445091947750333,0.4851190476190476,-0.007167408638568684,0.0029411531500258816,
