Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff3_lag2,2007-03-01,2017-07-01,125,-0.019601591393045625,,,-1.49401051643223,0.1377132117922901,0.004302928268423378,0.003358371751249267,-0.13622282190135832,0.48,-0.007108896285224819,0.004276486152660188,
CoreCPI_pct1_diff1_lag1,2007-03-01,2017-07-01,125,0.010218176196273854,1.2408861899023678,0.10849516390849825,0.3941463501682182,0.6941500019270308,0.004239538573670902,0.0033433081532365278,0.08772518395373016,0.544,-0.007108896285224819,0.004276486152660188,
GBP_pct1,2007-03-01,2017-07-01,125,-0.017914139831759712,,,-0.9248752562415784,0.3568271919735958,0.0042993660977550694,0.003381054087020533,-0.059171670345509,0.416,-0.007108896285224819,0.004276486152660188,
RiskFreeRate_diff1,2007-03-01,2017-07-01,125,-0.02948965059588393,,,-1.702837917021673,0.09110376467439307,0.004323742746706262,0.003359875565001158,-0.1343557537646017,0.456,-0.007108896285224819,0.004276486152660188,
Housing_pct3_lag3,2007-03-01,2017-07-01,125,-0.0056555034378964475,,,-0.19607514511750343,0.8448723179826362,0.004273399267792521,0.003304054323741755,0.028269265373760316,0.584,-0.007108896285224819,0.004276486152660188,
M2MoneySupply_pct1_lag1,2007-03-01,2017-07-01,125,-0.013966936919116213,,,-2.1600490640964276,0.032692735064407244,0.004291022096307557,0.003341567284377801,-0.14924463867548862,0.448,-0.007108896285224819,0.004276486152660188,
Payroll_pct1_lag2,2007-03-01,2017-07-01,125,-0.017084861836114795,,,-2.0409704673864177,0.04337620131874865,0.0042976144293094785,0.0033487419154307006,-0.15781362230283474,0.496,-0.007108896285224819,0.004276486152660188,
T10Y3M_diff1,2007-03-01,2017-07-01,125,-0.023743261575356778,,,-2.460848984114791,0.015237032521123442,0.004311658761180615,0.0033576576294419083,-0.16604761457735956,0.432,-0.007108896285224819,0.004276486152660188,
TradeSales_pct1_lag2,2007-03-01,2017-07-01,125,-0.02201725401216259,,,-1.76760141126817,0.07958729217495811,0.004308022549202656,0.003364600231785061,-0.1602850106220368,0.448,-0.007108896285224819,0.004276486152660188,
Unemployment_diff1_lag2,2007-03-01,2017-07-01,125,-0.015850252732826364,,,-1.4180521399370865,0.15868373943807187,0.004295005264020186,0.003346500102437618,-0.10441395682589637,0.456,-0.007108896285224819,0.004276486152660188,
Yield10Y_diff1,2007-03-01,2017-07-01,125,-0.02065953618878158,,,-2.2237508672894024,0.027975758683681816,0.004305160061878471,0.0033567967303653537,-0.17234973531502987,0.432,-0.007108896285224819,0.004276486152660188,
