Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff3_lag2,1998-05-01,2021-04-01,276,-0.022369028971569005,,,-1.6770866275007115,0.09466179053850331,0.004245548011437627,0.0032661841066858313,-0.02783629434718423,0.48188405797101447,-0.0010527229207257793,0.004201055217191665,
CoreCPI_pct1_diff1_lag1,1998-05-01,2026-04-01,336,0.03140337978357399,4.047006309134219,3.2232821984858664e-05,1.6501263576643204,0.09985432213763826,0.0044542102456872935,0.003454633483278184,0.17260268353685868,0.5654761904761905,0.015436957795519346,0.004490771963974535,0.0023277361405606776
GBP_pct1,2000-03-01,2026-04-01,314,0.009192222670881267,2.2782337867872693,0.01169315975321156,0.6840846144547944,0.4944278937954907,0.004512070232146271,0.0034773285408777246,0.09584707874045206,0.5127388535031847,0.015165737989483619,0.004498448181259452,0.003241075446825475
RiskFreeRate_diff1,2007-03-01,2026-04-01,230,-0.015969924651221268,,,-0.4947268286883109,0.621267260648183,0.004682355476573892,0.0036196943957703884,0.08063744151816048,0.5130434782608696,0.02400776542797156,0.004589307275369213,0.0019135333249824915
Housing_pct3_lag3,1998-05-01,2026-04-01,309,0.01278162661948512,2.239477296339433,0.0129191645948279,0.6039788377873528,0.5463023039708128,0.004344920198704164,0.0033621421187290134,0.11655493256603215,0.56957928802589,0.018961235437056634,0.004331300083107929,0.0015739715680787288
M2MoneySupply_pct1_lag1,1998-05-01,2026-04-01,336,0.013114490044389915,2.74991517660038,0.0031423323443743475,1.0403757890357186,0.298915614648749,0.004496065444061394,0.0034631614506668044,0.10785383662514907,0.5297619047619048,0.015436957795519346,0.004490771963974535,0.0023277361405606776
Payroll_pct1_lag2,1998-05-01,2026-04-01,336,0.005614088963604047,2.0085866251809428,0.02269156288832153,0.4772885048590161,0.6334679252124533,0.0045131183155132735,0.0034697896646499866,0.07773368204827227,0.5386904761904762,0.015436957795519346,0.004490771963974535,0.0023277361405606776
T10Y3M_diff1,1998-05-01,2017-07-01,231,0.003400072130790077,1.5862709037543699,0.057025858788700624,0.3283974691565681,0.7429099384664424,0.004246752876080694,0.0032822586777758607,0.06271849701647383,0.5194805194805194,0.0031054915240462666,0.00424738046924641,0.053565051292282714
TradeSales_pct1_lag2,1998-05-01,2026-04-01,336,-0.00249436667042513,,,-0.18607742712364295,0.8524966661362205,0.0045314814690791795,0.0035106772065878096,0.056117359876101676,0.5267857142857143,0.015436957795519346,0.004490771963974535,0.0023277361405606776
Unemployment_diff1_lag2,1998-05-01,2026-04-01,336,0.006584461300687017,2.1312956144353223,0.016896183568581,0.5274687411741859,0.5982172721433205,0.00451091571285573,0.0034719669864752504,0.0846802811820692,0.5238095238095238,0.015436957795519346,0.004490771963974535,0.0023277361405606776
Yield10Y_diff1,1998-05-01,2026-04-01,336,0.007937963786870728,1.6912301166081414,0.04586144228927439,0.4482213866416274,0.6542831756838297,0.004507841663542942,0.003469200762952617,0.09058666875826597,0.49702380952380953,0.015436957795519346,0.004490771963974535,0.0023277361405606776
