Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff1_lag1,1992-03-01,2026-04-01,405,0.08709129596145848,3.8558360192260963,6.707972513347997e-05,1.8602960614435908,0.06357009451142293,0.0027056934459509063,0.0018990045550962668,0.2923893938181599,0.5802469135802469,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
CoreCPI_adj_pct1_diff1_lag1,1992-03-01,2026-04-01,405,0.09896886318716791,3.955738343440688,4.5052155287087945e-05,1.9785209893329572,0.04854876381408773,0.0026880343566463914,0.0018940017730347592,0.31171966532723366,0.5604938271604938,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
DXY_Datastream_pct1,1992-03-01,2026-04-01,405,0.106158418102689,4.084416277862434,2.6648612730471538e-05,2.2024677526080594,0.028196466137290217,0.0026772886256122047,0.0018891072058405723,0.321570447961828,0.5728395061728395,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
FedFundsRate_diff1,1992-03-01,2026-04-01,405,0.09458539487865447,4.073611723366727,2.786468401825317e-05,2.1030936997912515,0.03607552888828481,0.0026945649951984132,0.0019014689862791223,0.3035473281626249,0.5506172839506173,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
Housing_pct1_lag1,1992-03-01,2026-04-01,405,0.09810562431493475,4.066884875218999,2.864826017751079e-05,2.1533262549274226,0.031884247938955806,0.002689321692979961,0.0018833039294929525,0.30884618010682985,0.582716049382716,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
M2MoneySupply_pct1_lag1,1992-03-01,2026-04-01,405,0.1211511606310749,4.0909804760031365,2.593463010068526e-05,2.3413133317387604,0.019701366712947175,0.002654740085186894,0.0018659752872994186,0.3444910868359293,0.5604938271604938,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
Payroll_pct1_lag1,1992-03-01,2026-04-01,405,0.10103092404135328,4.138721622195858,2.1263175872613493e-05,2.22058609692657,0.02693306340601144,0.002684956735278064,0.0018867508093862828,0.3142397792524992,0.5506172839506173,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
T10Y3M_diff1,1992-03-01,2026-04-01,405,0.10205161501600535,3.9356720085715278,4.883513527243938e-05,2.1379420379803067,0.03312094623408721,0.002683432050215209,0.00189453120358774,0.3150891644357617,0.5456790123456791,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
TradeSales_pct1_lag2,1992-03-01,2026-04-01,405,0.09643028083671557,4.043181277002304,3.157965090305117e-05,2.126507857398033,0.03406660318908015,0.002691818352937833,0.0018983590714569084,0.3062131966620514,0.5604938271604938,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
Unemployment_diff1_lag1,1992-03-01,2026-04-01,405,0.09709788514111728,4.098124454402174,2.5178275023806885e-05,2.133567064500028,0.03348007833665652,0.0026908237414840844,0.001897203988095342,0.30751439999150515,0.5555555555555556,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
Yield10Y_diff1,1992-03-01,2026-04-01,405,0.09765855321758732,3.9469840651610024,4.66670501796057e-05,2.095153745556532,0.03677940714130104,0.0026899881618436027,0.0018910927157050322,0.30801068622996874,0.562962962962963,0.10045884150710993,0.0026858109207006232,3.897536309636492e-05
