Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff1_lag1,1992-03-01,2026-04-01,405,0.08616330804919203,3.7324808888284324,0.00010839258921009683,1.5537406072410591,0.12102929509233976,0.002714193929882805,0.0018914894047748036,0.29430618290773547,0.5753086419753086,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
CoreCPI_adj_pct1_diff1_lag1,1992-03-01,2026-04-01,405,0.08543977148494308,4.118500553435409,2.3134582349621348e-05,1.5091564704002756,0.13204044579533733,0.002715268208255014,0.0019225778258205287,0.30250108139446946,0.562962962962963,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
DXY_Datastream_pct1,1992-03-01,2026-04-01,405,0.08036935620872054,3.5836794089877992,0.00019008122781707153,1.4463582412109777,0.1488521098134704,0.002722784666728398,0.001890904973922047,0.2817385951698034,0.5901234567901235,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
FedFundsRate_diff1,1992-03-01,2026-04-01,405,0.0715898310935763,3.4247311200146244,0.00033920404558085285,1.403081816112953,0.16136050531676654,0.0027357507275044854,0.001902007129826668,0.2631301272925086,0.5555555555555556,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
Housing_pct1_lag1,1992-03-01,2026-04-01,405,0.07807895978519741,3.5629530645480614,0.00020524278258682652,1.5672291716817126,0.11784402707597308,0.002726173189168416,0.001892353117420483,0.2725393265774587,0.5728395061728395,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
M2MoneySupply_pct1_lag1,1992-03-01,2026-04-01,405,0.10061453420013,3.652574722885141,0.0001468964220993968,1.7940255153713305,0.07355671655882053,0.002692647554678942,0.0018854832428897644,0.3161901207819998,0.5580246913580247,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
Payroll_pct1_lag1,1992-03-01,2026-04-01,405,-0.7945434690011024,,,-0.9173741127429506,0.35949394689061787,0.0038035013118948875,0.002028715487587748,0.1780982075995644,0.5481481481481482,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
T10Y3M_diff1,1992-03-01,2026-04-01,405,0.09397997749280051,3.496765380513258,0.00026159794316520655,1.6639170392489064,0.09690442067213187,0.0027025608226418575,0.0018975630412887603,0.3012103429804352,0.5580246913580247,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
TradeSales_pct1_lag2,1992-03-01,2026-04-01,405,0.07572376720012153,3.6673135752115127,0.00013894361266181016,1.527471837827611,0.12742623548379,0.002729653187553094,0.0018967674156719224,0.27079054563520905,0.5901234567901235,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
Unemployment_diff1_lag1,1992-03-01,2026-04-01,405,0.029590554167827743,3.0329864890771128,0.0012888464104767229,0.44875692702258035,0.6538476173322989,0.0027969460325323542,0.001927089947221508,0.26036155413991025,0.5604938271604938,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
Yield10Y_diff1,1992-03-01,2026-04-01,405,0.08148794497954848,3.485647066629461,0.0002723796048629424,1.568318871233211,0.11758960868539536,0.002721128239179649,0.0018954943935539158,0.27778297843235333,0.5604938271604938,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
