Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff1_lag1,1992-03-01,2026-05-01,406,0.058147478784414286,3.9442639238855444,4.7161206243166545e-05,1.7531815090487433,0.0803273898407134,0.003329980732551031,0.002483382815004529,0.2380608954612344,0.5467980295566502,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
CoreCPI_pct1_diff1_lag1,1992-03-01,2026-05-01,406,0.06634927183138972,4.00050780363121,3.757327659432368e-05,1.924297643453341,0.05501763242236276,0.0033154500436432823,0.0024757443159590478,0.25265826163286326,0.5591133004926109,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
DXY_Datastream_pct1,1992-03-01,2026-05-01,406,0.07615486543069816,4.09026404411296,2.5999876136020812e-05,2.0926754178636586,0.03699996006185047,0.003297993962767745,0.0024572805541793223,0.270732187984851,0.5615763546798029,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
FedFundsRate_diff1,1992-03-01,2026-05-01,406,0.06383910041098073,3.9318958200583296,4.9560469424608966e-05,1.8783579160596522,0.06105037690677478,0.0033199039370686604,0.0024759241941868246,0.24782112357875374,0.5517241379310345,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
Housing_pct1_lag1,1992-03-01,2026-05-01,406,0.06691128080215814,4.14473860057192,2.0724887008279625e-05,2.016241317045613,0.04443446831439564,0.003314452029557775,0.0024761983280353456,0.25379787624144856,0.5566502463054187,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
M2MoneySupply_pct1_lag1,1992-03-01,2026-05-01,406,0.07765752071512944,4.106692687563754,2.428762446308632e-05,2.10638387104337,0.03578572618197163,0.0032953107398602313,0.0024538156083491994,0.27426698531569066,0.5394088669950738,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
Payroll_pct1_lag1,1992-03-01,2026-05-01,406,0.06586554445379211,4.161609483262285,1.9309661639672545e-05,2.0071337714196296,0.04539942977887055,0.0033163088049715287,0.002472102963452127,0.2523432660360866,0.5615763546798029,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
T10Y3M_diff1,1992-03-01,2026-05-01,406,0.06589140026822049,3.8438935971588806,7.028388677964232e-05,1.868632879504117,0.062395598774637746,0.0033162629087636086,0.0024740975610668143,0.2517743758189211,0.5615763546798029,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
TradeSales_pct1_lag2,1992-03-01,2026-05-01,406,0.06447834163167909,3.9617294985411493,4.3959949618424975e-05,1.9102418036648938,0.05680807477508048,0.0033187702741213063,0.0024720552606459028,0.24888118395985653,0.5689655172413793,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
Unemployment_diff1_lag1,1992-03-01,2026-05-01,406,0.06718059749612826,4.024907377304183,3.401729039147666e-05,1.9782025021370881,0.04858313228701561,0.003313973671142247,0.0024676484865748497,0.25449612656986226,0.5566502463054187,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
Yield10Y_diff1,1992-03-01,2026-05-01,406,0.06346323157485856,3.8972191174815025,5.6919169487420994e-05,1.8449284218820008,0.06577788408778622,0.0033205703413169496,0.002478927665163637,0.24717572635125112,0.5369458128078818,0.06745022264503764,0.0033134946956734973,4.239877888494504e-05
