Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff1_lag1,1977-04-01,2026-05-01,585,0.03606268632488108,3.7523590384175685,9.633469818646814e-05,1.1365429188703313,0.2561955604785446,0.0031895054127875156,0.0023885783814634187,0.20661634213067284,0.5452991452991452,0.0423062906369861,0.003179159116909938,0.00013670884375532543
CoreCPI_pct1_diff1_lag1,1967-05-01,2026-05-01,704,0.02742117545557976,4.304828124087979,9.542322450732547e-06,0.9667916315096311,0.33398067892767747,0.0032551525921112414,0.0024137254894110384,0.193855965678002,0.5184659090909091,0.0338089972448814,0.003244445187753036,5.94226202052796e-05
DXY_Datastream_pct1,1981-03-01,2026-05-01,538,0.04865540775513133,3.7580518080697765,9.499983376094409e-05,1.3267587308338404,0.1851524049304452,0.0032036916469283744,0.002390774020882255,0.22266399433042497,0.5669144981412639,0.046635088518575785,0.003207091596454959,0.00013245229646330976
FedFundsRate_diff1,1964-09-01,2026-05-01,736,0.015110129424329322,3.7917574995039818,8.093075772556674e-05,0.5773908488147269,0.5638522722909618,0.003297998690169755,0.002444406882747606,0.1620720363712385,0.5407608695652174,0.04162646947780779,0.0032532995161180266,8.052723299695713e-06
Housing_pct1_lag1,1969-04-01,2026-05-01,681,0.019900501228070966,3.692702520273786,0.00011984093655990177,0.7829550468055976,0.4339260941685561,0.0033082180821790846,0.0024469720445921836,0.16604774415837376,0.5345080763582967,0.036258552036461666,0.0032804945166636304,4.797232060090288e-05
M2MoneySupply_pct1_lag1,1969-04-01,2026-05-01,681,0.03309384105472657,3.7961244480649836,8.00505219846465e-05,1.1714486160817064,0.24182880047130664,0.0032858763066235096,0.0024351447542850057,0.19566767431796506,0.5477239353891337,0.036258552036461666,0.0032804945166636304,4.797232060090288e-05
Payroll_pct1_lag1,1949-04-01,2026-05-01,921,-0.2902003679758176,,,-0.9718556779700208,0.33137779314459326,0.0040630609132957666,0.0026958620280113487,0.1028511261370561,0.496199782844734,0.012505784233377781,0.0035546106095952724,0.00024299936156783037
T10Y3M_diff1,1992-03-01,2026-05-01,406,0.05661488663114145,3.324048586496162,0.0004839879716437792,1.2511973652148534,0.2115847367735346,0.003337900120454936,0.0025199942976657894,0.24090616863991646,0.5443349753694581,0.05902134577417506,0.003333640116144059,0.00014206657642351755
TradeSales_pct1_lag2,1977-05-01,2026-05-01,584,0.02980284146207579,3.524982360220963,0.0002283778576270526,0.9955930316041528,0.3198609562342704,0.0032019159996228563,0.0023832752968579052,0.18211321966586946,0.5428082191780822,0.04203268375363256,0.0031816710854726473,0.00014293643414695835
Unemployment_diff1_lag1,1958-04-01,2026-05-01,813,0.004099097883307534,3.624121766473593,0.00015399581298655037,0.12381045170611671,0.9014959964425947,0.0033393686666781325,0.0024671801157021404,0.16962262839919676,0.5276752767527675,0.03909023499137554,0.003280179487111931,4.421499717939328e-06
Yield10Y_diff1,1972-03-01,2026-05-01,646,0.027278285529546586,3.5766059046308243,0.0001870698736410366,0.9467419273787442,0.3441248424339258,0.0033147840016502046,0.00244662802163798,0.17918653734833048,0.544891640866873,0.038578179012530245,0.003295474201312666,5.518108752843334e-05
