Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff1_lag1,1992-03-01,2026-05-01,406,0.055900989218108044,3.79383343165635,8.548588735880925e-05,1.4023947763902793,0.16156342456265635,0.00333916284316764,0.002499874350019509,0.24566891269151594,0.5615763546798029,0.05902134577417506,0.003333640116144059,0.00014206657642351755
CoreCPI_pct1_diff1_lag1,1992-03-01,2026-05-01,406,0.05688784043094797,3.9579455891136583,4.463550609519179e-05,1.41128845862523,0.1589273081220492,0.0033374172007965236,0.0025057812862254807,0.24203329556043943,0.5517241379310345,0.05902134577417506,0.003333640116144059,0.00014206657642351755
DXY_Datastream_pct1,1992-03-01,2026-05-01,406,0.061023956061962537,3.724313578457564,0.00011180500660062574,1.384756994764802,0.1668891496565402,0.00333009086572379,0.0024797654874845307,0.24857458788595377,0.5812807881773399,0.05902134577417506,0.003333640116144059,0.00014206657642351755
FedFundsRate_diff1,1992-03-01,2026-05-01,406,0.03603678524667275,3.2277975837270527,0.0006744962982594164,0.9382502783200791,0.3486749962548087,0.003374108613075489,0.0025119350027715984,0.20061995796865642,0.5541871921182266,0.05902134577417506,0.003333640116144059,0.00014206657642351755
Housing_pct1_lag1,1992-03-01,2026-05-01,406,0.04280570660247285,3.5443207807685675,0.00021977442785766323,1.1718964324698549,0.24192755993541143,0.0033622412976441717,0.0025062264753222445,0.21348779192796888,0.5492610837438424,0.05902134577417506,0.003333640116144059,0.00014206657642351755
M2MoneySupply_pct1_lag1,1992-03-01,2026-05-01,406,0.05922527995328164,3.581653886200285,0.00019146196316216244,1.4163919707351353,0.1574294352632299,0.003333278853964349,0.002487228041440296,0.24827728586783823,0.5566502463054187,0.05902134577417506,0.003333640116144059,0.00014206657642351755
Payroll_pct1_lag1,1992-03-01,2026-05-01,406,-0.6882616900011804,,,-0.9381168414511203,0.34874347460958155,0.004465280140171629,0.002630244745319744,0.14238464906944812,0.541871921182266,0.05902134577417506,0.003333640116144059,0.00014206657642351755
T10Y3M_diff1,1992-03-01,2026-05-01,406,0.05661488663114145,3.324048586496162,0.0004839879716437792,1.2511973652148534,0.2115847367735346,0.003337900120454936,0.0025199942976657894,0.24090616863991646,0.5443349753694581,0.05902134577417506,0.003333640116144059,0.00014206657642351755
TradeSales_pct1_lag2,1992-03-01,2026-05-01,406,0.04513353086716132,3.5647528259945376,0.00020382683144188048,1.189749733202231,0.23484176252827205,0.0033581504504591,0.002498916463477965,0.21699824363506645,0.5640394088669951,0.05902134577417506,0.003333640116144059,0.00014206657642351755
Unemployment_diff1_lag1,1992-03-01,2026-05-01,406,0.0006319563776993053,2.9892302479314075,0.0014836498227892012,0.010472976454932278,0.9916490833848177,0.003435512688246524,0.002525354498751799,0.20788498068295203,0.5640394088669951,0.05902134577417506,0.003333640116144059,0.00014206657642351755
Yield10Y_diff1,1992-03-01,2026-05-01,406,0.04802529836630365,3.3139499119593485,0.0005013263526685737,1.18518103932885,0.23664083054784318,0.003353061595569007,0.0025094557138265108,0.22076722675705412,0.5517241379310345,0.05902134577417506,0.003333640116144059,0.00014206657642351755
