Predictor,TimesSelected,FracOrigins
CPI_pct1_diff1_lag1,291,0.718518518518519
CoreCPI_pct1_diff1_lag1,209,0.516049382716049
FedFundsRate_diff1,145,0.358024691358025
Payroll_pct1_lag1,143,0.353086419753086
M2MoneySupply_pct1_lag1,137,0.338271604938272
TradeSales_pct1_lag2,132,0.325925925925926
CapacityUtilization_diff1_lag1,121,0.298765432098765
T10Y3M_diff1,120,0.296296296296296
DXY_Datastream_pct1,115,0.283950617283951
Housing_pct1_lag1,107,0.264197530864198
Yield10Y_diff1,103,0.254320987654321
Unemployment_diff1_lag1,100,0.246913580246914
