Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,R2_OOS_CT,CW_stat,CW_p,CW_stat_CT,CW_p_CT,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CapcacityUtilization,1972-03-01,2025-10-01,644,0.161244257156738,0.161244257156738,10.7931593331791,0,10.7931593331791,0,6.66834216075882,5.57735784864908e-11,13.0205029830599,10.5215815014102,0.994474047952695,1,0.988978632051419,57608.482426062,0
CoreCPI,1962-03-01,2025-10-01,764,0.986664345731755,0.986664345731755,19.4198667335217,0,19.4198667335217,0,20.0057967564575,6.64588808572307e-72,1.51228915312694,1.07373841182692,0.999840019097257,1,0.999680063788403,2380962.7700626,0
DXY,2011-02-01,2025-10-01,177,0.447415862529455,0.447415862529455,7.52364163591813,1.31750166332267e-12,7.52364163591813,5.71764857681956e-14,7.90195609217157,2.87410431389108e-13,14.0058411356919,11.5385157855035,0.965994315671626,1,0.933145017909892,2442.60596636064,9.85952297528528e-105
FedFundsRate,1959-08-01,2025-10-01,795,0.372525389480535,0.372525389480535,10.9005025433198,0,10.9005025433198,0,9.12573190869767,5.77034655296199e-19,10.1710649685682,7.68503147249556,0.997025115624024,1,0.994059081185097,132688.036302127,0
Housing,1964-03-01,2025-10-01,740,0.333278537623745,0.333278537623745,15.2470838117544,0,15.2470838117544,0,12.9288645908024,1.28724782444533e-34,10.8641654881585,7.9792572107361,0.995879443348361,1,0.991775865683842,88997.8884995361,0
M2MoneySupply,1964-03-01,2025-10-01,740,0.83906508952436,0.83906508952436,31.5234996314207,0,31.5234996314207,0,24.0476355656285,7.71768195109189e-95,5.33764008220423,3.12374449419305,0.998130411458185,1,0.996264318277687,196816.303299456,0
Payroll,1952-02-01,2025-10-01,885,0.573398620408432,0.573398620408432,19.5593754330835,0,19.5593754330835,0,14.6586055501815,1.03224758700287e-43,7.95357778647854,4.79439470084197,0.997589819185569,1,0.995185447342696,182519.293598453,0
T10Y3M,1987-02-01,2025-10-01,465,0.247141329810042,0.247141329810042,9.48583453603754,0,9.48583453603754,0,7.29648576796855,1.28901954995332e-12,12.8720787893197,10.3433916330149,0.99092003750602,1,0.981922520730931,25148.9779261588,0
TradeSales,1972-04-01,2025-10-01,643,0.563077067093781,0.563077067093781,19.7008543755908,0,19.7008543755908,0,15.1972685782585,8.808916389738e-45,9.40409881445268,6.58339012929201,0.99512971744182,1,0.990283154535836,65326.9113313073,0
Unemployment,1953-03-01,2025-10-01,872,0.170731947231299,0.170731947231299,14.3134623980121,0,14.3134623980121,0,1.29346567704462,0.196192968637706,11.1691080454612,6.96486126426408,0.995336842236127,1,0.990695429512584,92632.4353006516,0
