Predictor,Beg,End,NumObs,Beta,Beta_t,R2
CPI_pct1_lag1,1947-04-01,2026-03-01,943,-8.85401961813664e-05,-0.8819467032107161,0.0008259166467268209
CapacityUtilization_diff1_lag1,1967-04-01,2026-03-01,705,6.010363950421697e-05,0.5709251808744614,0.0004634487886858718
CoreCPI_pct1_lag1,1957-04-01,2026-03-01,823,-0.00011110952042619228,-1.1765663946653286,0.0016832865933598118
DXY_Datastream_pct1,1971-03-01,2026-03-01,658,0.00017195228988593365,1.5608134569970675,0.003699885994330465
FedFundsRate_diff1,1954-09-01,2026-03-01,856,6.88526608674564e-05,0.7388913446791556,0.0006388894740941842
Housing_pct1_lag1,1959-04-01,2026-03-01,801,-6.240978333150392e-06,-0.06482498225197539,5.259394521450744e-06
M2MoneySupply_pct1_lag1,1959-04-01,2026-03-01,801,0.00010968015693220346,1.1401701538929698,0.001624375858245375
Payroll_pct1_lag1,1947-02-01,2026-03-01,947,-5.48774377464221e-05,-0.5359759904606172,0.00030389731395708
T10Y3M_diff1,1982-03-01,2026-03-01,526,-7.25760218739302e-05,-0.6070985901290452,0.0007028809889418897
TradeSales_pct1_lag2,1967-05-01,2026-03-01,704,-5.411016722842304e-05,-0.5136718066136203,0.0003757259064830487
Unemployment_diff1_lag1,1948-04-01,2026-03-01,931,-7.117456901589325e-05,-0.7527544823580398,0.0006095736300628651
