Key,Value
Method,PCA
NumComponents,3
Standardize,True
WindowType,expanding
TrainObs,240
TimeLag,1
NumPredictors,11
OOS_Beg,2002-03-01
OOS_End,2026-03-01
Num_OOS_Obs,284
R2_OOS,-0.03471974688946444
R2_OOS_CT,-0.028078981036192774
CW_stat,
CW_p,
CW_stat_CT,
CW_p_CT,
DM_stat,-1.1621532128232075
DM_p,0.24615237557613745
RMSE,0.0031529373662108674
MAE,0.0022097518121813957
Cor,-0.010778622090962087
HitRate,0.5070422535211268
R2_MZ,0.0001161786941797759
F_MZ,0.032766198492850944
p_MZ,0.8564863314699755
