Predictor,TimesSelected,FracOrigins
Housing_pct1_lag1,310,0.7654320987654321
CPI_adj_pct1_diff1_lag1,301,0.7432098765432099
DXY_Datastream_pct1,224,0.5530864197530864
M2MoneySupply_pct1_lag1,218,0.5382716049382716
CoreCPI_adj_pct1_diff1_lag1,205,0.5061728395061729
T10Y3M_diff1,187,0.4617283950617284
Yield10Y_diff1,174,0.42962962962962964
FedFundsRate_diff1,145,0.35802469135802467
Payroll_pct1_lag1,92,0.2271604938271605
CapacityUtilization_diff1_lag1,73,0.18024691358024691
Unemployment_diff1_lag1,30,0.07407407407407407
TradeSales_pct1_lag2,8,0.019753086419753086
