Predictor,TimesSelected,FracOrigins
CPI_adj_pct1_diff1_lag1,278,0.6864197530864198
CoreCPI_adj_pct1_diff1_lag1,182,0.44938271604938274
T10Y3M_diff1,108,0.26666666666666666
FedFundsRate_diff1,105,0.25925925925925924
DXY_Datastream_pct1,98,0.2419753086419753
Payroll_pct1_lag1,92,0.2271604938271605
Yield10Y_diff1,90,0.2222222222222222
CapacityUtilization_diff1_lag1,86,0.2123456790123457
M2MoneySupply_pct1_lag1,82,0.20246913580246914
TradeSales_pct1_lag2,79,0.19506172839506172
Housing_pct1_lag1,78,0.1925925925925926
Unemployment_diff1_lag1,62,0.15308641975308643
