Predictor,TimesSelected,FracOrigins
DXY_Datastream_pct1,357,0.8793103448275862
Housing_pct1_lag1,288,0.7093596059113301
CPI_pct1_diff1_lag1,261,0.6428571428571429
CoreCPI_pct1_diff1_lag1,209,0.5147783251231527
M2MoneySupply_pct1_lag1,200,0.49261083743842365
Payroll_pct1_lag1,196,0.4827586206896552
T10Y3M_diff1,161,0.39655172413793105
CapacityUtilization_diff1_lag1,142,0.3497536945812808
FedFundsRate_diff1,127,0.312807881773399
Unemployment_diff1_lag1,91,0.22413793103448276
TradeSales_pct1_lag2,83,0.2044334975369458
Yield10Y_diff1,65,0.16009852216748768
