Predictor,TimesSelected,FracOrigins
CPI_pct1_diff1_lag1,256,0.6305418719211823
DXY_Datastream_pct1,169,0.41625615763546797
CoreCPI_pct1_diff1_lag1,158,0.3891625615763547
CapacityUtilization_diff1_lag1,140,0.3448275862068966
T10Y3M_diff1,103,0.2536945812807882
Payroll_pct1_lag1,98,0.2413793103448276
M2MoneySupply_pct1_lag1,77,0.1896551724137931
FedFundsRate_diff1,66,0.1625615763546798
Unemployment_diff1_lag1,62,0.15270935960591134
Yield10Y_diff1,59,0.14532019704433496
Housing_pct1_lag1,46,0.11330049261083744
TradeSales_pct1_lag2,43,0.10591133004926108
