Predictor,TimesSelected,FracOrigins
CPI_pct12_lag1,186,0.4170403587443946
DXY_Datastream_pct12,133,0.2982062780269058
Housing_pct12_lag1,87,0.19506726457399104
M2MoneySupply_pct12_lag1,82,0.18385650224215247
CoreCPI_pct12_lag1,79,0.17713004484304934
T10Y3M_diff12,74,0.16591928251121077
CapcacityUtilization_pct12_lag1,73,0.16367713004484305
TradeSales_pct12_lag2,70,0.15695067264573992
Unemployment_pct12_lag1,51,0.11434977578475336
Payroll_pct12_lag1,33,0.07399103139013453
FedFundsRate_pct12,32,0.07174887892376682
