Predictor,Num_Obs,Intercept,Beta,t_Beta,p_Beta,R2,RMSE,MAE,Cor,HitRate
CPI_adj_pct1_diff1_lag1,456,-1.1907281364472524e-05,-0.08281506217166351,-1.7753656147935368,0.07650739527414785,0.006894694973720639,0.003166846678668955,0.002289863152710112,0.08303429998332455,0.5285087719298246
CapacityUtilization_diff3_lag2,398,1.3467363567160936e-06,-2.2890925108959072e-05,-0.38624713307744596,0.6995210886810468,0.00037659258876099333,0.0030048802453314905,0.002180577478977151,0.0194059936298276,0.45979899497487436
CoreCPI_adj_pct1_diff1_lag1,456,-1.2210672468873423e-05,-0.038152363853934904,-0.9514631982591164,0.3418755417025102,0.0019900455172299214,0.0031746571005157333,0.0022910431588811135,0.04460992621861196,0.5504385964912281
GBP_pct1,434,-1.2613570484552284e-05,-0.004634833442466697,-0.5750941197415206,0.5655270371393697,0.0007650005450171582,0.0031076299116087336,0.0022363309694126924,0.027658643224444827,0.4861751152073733
RiskFree_diff1,350,9.502900218294966e-06,0.00022662888806800782,0.7271939168260384,0.4675960846998809,0.001517266223020397,0.0028629883066022457,0.0021128689412016127,0.038952101650884724,0.48
Housing_pct3_lag3,431,4.535027299806884e-06,-7.603710450579749e-05,-0.09411461521427823,0.9250620505064677,2.064656857536651e-05,0.003016998778428271,0.0022177581009700503,0.004543849532615202,0.4988399071925754
M2MoneySupply_pct1_lag1,458,4.483957042368602e-05,-0.007649236869779362,-0.5521595490367283,0.5811095609714725,0.000668150135673562,0.003180951168672926,0.0023044650426757842,0.025848600265265365,0.48034934497816595
Payroll_pct1_lag2,458,-7.173593919272294e-06,0.018185568785420294,0.20927887787298444,0.8343239991527331,9.603825103987607e-05,0.003181861576751036,0.00229954371686018,0.009799910766935344,0.4781659388646288
T10Y3M_diff1,353,9.76384184169811e-06,0.0002845644054037341,0.5856301436386643,0.5585004255080355,0.0009761478144791891,0.002961255600006155,0.0021386167055655364,0.031243364327153685,0.4985835694050991
TradeSales_pct1_lag2,458,1.1850939584411104e-05,-0.00922590201192088,-0.9280097029158779,0.3538934758439526,0.0018850408065285151,0.0031790138497964065,0.0022999540564920596,0.043417056631332995,0.4781659388646288
Unemployment_diff1_lag2,458,-2.8459738776516664e-06,-0.0007051591540250543,-0.5154052585815434,0.6065196295123649,0.0005822103524409927,0.0031810879422466526,0.002300243731066935,0.024129035464371507,0.4978165938864629
Yield10Y_diff1,458,1.852521348495745e-05,0.0012782703916225254,1.8692201458983049,0.0622329453298417,0.007603981936319171,0.003169893301961017,0.002297750960891997,0.08720081385124084,0.5065502183406113
