Predictor,Num_Obs,Intercept,Beta,t_Beta,p_Beta,R2,RMSE,MAE,Cor,HitRate
CPI_pct1_diff1_lag1,456,-1.2618924348580608e-05,0.06659308735226814,1.4270551701026488,0.15425137327037985,0.004465621762704819,0.004748742377066203,0.0036228757747693535,0.06682530780104985,0.543859649122807
CapacityUtilization_diff3_lag2,398,8.201276673840139e-06,-2.7353747766043435e-05,-0.3019413829501796,0.762855257443828,0.0002301707434182454,0.00459328392131696,0.003496981503687277,0.015171379087560975,0.5
CoreCPI_pct1_diff1_lag1,456,-1.2540182133835478e-05,0.09990019406097259,2.5692882867897886,0.010509034666579558,0.01433179439044252,0.004725152748967471,0.003613629872856912,0.11971547264427754,0.5679824561403509
GBP_pct1,434,-5.397237713979556e-06,0.0030932230752183086,0.24873395438548637,0.8036847872235426,0.00014319379830374235,0.004795238969733746,0.0036480854819643826,0.011966361113716063,0.4861751152073733
RiskFreeRate_diff1,350,2.5563200865087627e-05,0.0013371542353719209,2.773764957545911,0.005839906139301103,0.021630325421752694,0.004428599335911987,0.0034181697670862795,0.14707251756107548,0.46285714285714286
Housing_pct3_lag3,431,-5.161275203956231e-06,0.0015843697237590954,1.2671125474598928,0.20580247507530539,0.003728642414543293,0.004669259144219874,0.0035986385609564076,0.061062610610281974,0.531322505800464
M2MoneySupply_pct1_lag1,458,0.00017750970300405908,-0.03163666206812559,-1.5279539679772547,0.1272172952749318,0.005093752702837739,0.004754270247085024,0.0036483078484726996,0.0713705310533531,0.5152838427947598
Payroll_pct1_lag2,458,3.190793224530156e-05,-0.03267808388475837,-0.25105773228514777,0.801882563772916,0.00013820454804736038,0.004766095859003594,0.003633465534644902,0.011756043043784829,0.5021834061135371
T10Y3M_diff1,353,-4.798421303436288e-06,0.0008131208346008027,1.0616336814385292,0.28913192542068006,0.0032007368423341287,0.004667659235736535,0.0035726281858626204,0.05657505494769085,0.49575070821529743
TradeSales_pct1_lag2,458,1.2987693584181222e-05,-0.0026970835538572455,-0.18094779935446523,0.8564889444817675,7.17977089536026e-05,0.004766254128930116,0.0036309687252438945,0.008473352875573601,0.48253275109170307
Unemployment_diff1_lag2,458,9.184288008014509e-06,-0.0001590984703242921,-0.07760924512507401,0.9381729295346724,1.320858633957478e-05,0.0047663937622340335,0.003632888651787003,0.003634361888956297,0.4432314410480349
Yield10Y_diff1,458,2.7166534000377863e-05,0.0014916647050378067,1.4540027074312698,0.1466334621230313,0.004614841069171094,0.004755414375691021,0.0036517594446449178,0.0679326215390743,0.4912663755458515
