Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,R2_OOS_CT,CW_stat,CW_p,CW_stat_CT,CW_p_CT,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_diff1_lag1,2002-03-01,2017-07-01,185,-0.0201606695314607,-0.00377473599943601,NaN,NaN,NaN,NaN,-2.42847249634871,0.0161246693263016,0.00418879661176137,0.00322547453647711,-0.110085097125645,0.47027027027027,0.012118728609163,2.24493307009903,0.135775682308793
CapacityUtilization_diff3_lag2,2002-03-01,2017-07-01,185,-0.0111022286165003,-0.00713726747771104,NaN,NaN,NaN,NaN,-1.31959459167751,0.188609960208998,0.00417015809042215,0.00320197033283258,-0.155846239013171,0.432432432432432,0.0242880502145505,4.55535385237426,0.0341470051083191
CoreCPI_pct1_diff1_lag1,2002-03-01,2017-07-01,185,0.000428779643099397,0.00435255888449904,0.78762808500399,0.215963855892895,1.68280739005177,0.0468457384614466,0.0624493229442144,0.950272802866896,0.00414631084150674,0.00318058222303986,-0.0130881666220877,0.486486486486487,0.000171300105527572,0.0313532901334462,0.859650326742201
DXY_pct1,2002-03-01,2017-07-01,185,-0.00430576886822509,-0.00207268832242691,NaN,NaN,NaN,NaN,-0.36949436267921,0.712184159879649,0.00415611890644109,0.0032193361258768,-0.0448663288589594,0.454054054054054,0.00201298746528022,0.369119739555205,0.544237643562977
FedFundsRate_diff1,2002-03-01,2017-07-01,185,-0.0165840214279764,-0.0101128491126135,NaN,NaN,NaN,NaN,-0.873693472805419,0.38342405466207,0.00418144727628975,0.00318214076669991,-0.0191705670745316,0.486486486486487,0.000367510641959612,0.0672791732906845,0.795631848658761
Housing_pct3_lag3,2002-03-01,2017-07-01,185,-0.00688782701889235,-0.00616219303877918,NaN,NaN,NaN,NaN,-0.309588585160728,0.757224157166202,0.00416145814292924,0.00321916448976821,0.020438252543502,0.562162162162162,0.000417722167032175,0.0764751019121447,0.782444410503812
M2MoneySupply_pct1_lag1,2002-03-01,2017-07-01,185,-0.00683842004524893,-0.00224851192586106,NaN,NaN,NaN,NaN,-2.17932250890716,0.030578226493962,0.00416135604239255,0.00319630983924909,-0.236454555029694,0.356756756756757,0.0559107565942907,10.8376072794193,0.0011935916047573
Payroll_pct1_lag2,2002-03-01,2017-07-01,185,-0.0106517508666435,-0.00700448911819906,NaN,NaN,NaN,NaN,-1.93932753510158,0.0539908090256046,0.00416922901882766,0.00320423990883465,-0.214509396798538,0.443243243243243,0.0460142813148728,8.82677100473554,0.00336703329387395
T10Y3M_diff1,2002-03-01,2017-07-01,185,-0.0104211839398585,-0.00888819146443431,NaN,NaN,NaN,NaN,-1.31885829176587,0.188855556919679,0.0041687534142717,0.00320412665604419,-0.118580210631307,0.47027027027027,0.0140612663533654,2.60991038778689,0.107920480174414
TradeSales_pct1_lag2,2002-03-01,2017-07-01,185,-0.011449187111398,-0.00571255958660033,NaN,NaN,NaN,NaN,-1.37885613335324,0.169613022789176,0.00417087352138047,0.0032195557671966,-0.160580231960469,0.410810810810811,0.025786010896478,4.84374074570388,0.0289980237486473
Unemployment_diff1_lag2,2002-03-01,2017-07-01,185,-0.010262202402668,-0.0072063795695112,NaN,NaN,NaN,NaN,-1.31553128613815,0.189968261714333,0.00416842544168545,0.00320534615597295,-0.130848197806813,0.383783783783784,0.0171212508692911,3.18776747574542,0.0758474121170886
Yield10Y_diff1,2002-03-01,2017-07-01,185,-0.00873765378555547,-0.00668639624840273,NaN,NaN,NaN,NaN,-1.3479085469308,0.179344942907279,0.00416527904733919,0.00320941548004555,-0.151270831281497,0.416216216216216,0.0228828643965951,4.28563171394074,0.0398400509400074
