Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,CW_stat,CW_p,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_diff1_lag1,1988-08-01,2026-04-01,453,-0.002937793374844455,,,-0.19347403247102038,0.846674651378378,0.0048110402580020285,0.0036460959863837844,0.0069045061776943,0.5231788079470199,4.767220555768059e-05,0.021501189715664316,0.8834873526657565
CapacityUtilization_diff3_lag2,1988-06-01,2021-04-01,395,-0.04785592846282505,,,-3.9728072101968785,8.44616765895414e-05,0.004710901728876269,0.003580396604387576,-0.26569718301372186,0.4430379746835443,0.07059499306142725,29.851175823259364,8.297151660096904e-08
CoreCPI_pct1_diff1_lag1,1988-08-01,2026-04-01,453,0.011821652933963755,3.0312039671416127,0.001287856554974982,0.7649484687678052,0.44470142547202207,0.004775508904885153,0.003623942612822848,0.08049027807024396,0.5540838852097131,0.00647868486382519,2.9409402989856055,0.08704736994199246
GBP_pct1,1990-06-01,2026-04-01,431,-0.08655918033671761,,,-2.2695503470532596,0.02372932619519266,0.004893757789226274,0.0037265293085172067,0.007597290519908576,0.4756380510440835,5.771882324367983e-05,0.024762804451473247,0.8750335818072015
RiskFreeRate_diff1,1997-06-01,2026-04-01,347,-0.02522312000823934,,,-0.8171445692924285,0.41440810959087926,0.004581286353295834,0.0035772686615956296,0.05176745650834296,0.46397694524495675,0.002679869553342873,0.9270393404064097,0.3363077910831489
Housing_pct3_lag3,1988-06-01,2026-04-01,428,-0.030837722112465382,,,-2.122276069640651,0.03438961459145746,0.0047632839491614995,0.0036604300961700833,-0.10624463636658672,0.48364485981308414,0.011287922756668012,4.863554522108992,0.027963219616561643
M2MoneySupply_pct1_lag1,1988-06-01,2026-04-01,455,-0.02638663085229065,,,-1.267901301429389,0.20548304640219806,0.004842774379691325,0.0037215098034807563,-0.01869922790238698,0.5010989010989011,0.0003496611241455838,0.15845189370520246,0.6907733654042556
Payroll_pct1_lag2,1988-06-01,2026-04-01,455,-0.05884179552023383,,,-3.822667123525598,0.00015043515710358457,0.004918744689194354,0.003741099600401175,-0.11807926629099606,0.4703296703296703,0.013942713127819917,6.4053571034774555,0.01171508895229668
T10Y3M_diff1,1988-06-01,2017-07-01,350,-0.016338821496285627,,,-0.8443664540023684,0.39904307950080453,0.0047216511558537694,0.003631470004002942,-0.03628572951411834,0.4542857142857143,0.0013166541663716114,0.45879973047397515,0.498635494038956
TradeSales_pct1_lag2,1988-06-01,2026-04-01,455,-0.05709094663620218,,,-3.2877431850364665,0.0010883720436685447,0.0049146763091402115,0.003778041821769221,-0.1074217372726056,0.41098901098901097,0.011539429638664611,5.288386591287277,0.02192204418325862
Unemployment_diff1_lag2,1988-06-01,2026-04-01,455,-0.05503294142890436,,,-3.0294499517281652,0.0025897852014622365,0.004909889891706538,0.003736329555852459,-0.14853445824617884,0.45714285714285713,0.0220624852864858,10.219779571198746,0.0014866598935261849
Yield10Y_diff1,1988-06-01,2026-04-01,455,-0.10530782177169984,,,-1.8549742343731248,0.06424796895645031,0.005025512581071193,0.0037580228214453074,-0.07305542090236349,0.47692307692307695,0.005337094523221397,2.4306765696267565,0.11967985432211305
