Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,CW_stat,CW_p,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_adj_pct1_diff1_lag1,,,0,,,,,,,,,,,,
CapacityUtilization_diff1_lag1,,,0,,,,,,,,,,,,
CoreCPI_adj_pct1_diff1_lag1,,,0,,,,,,,,,,,,
DXY_Datastream_pct1,,,0,,,,,,,,,,,,
FedFundsRate_diff1,,,0,,,,,,,,,,,,
Housing_pct1_lag1,,,0,,,,,,,,,,,,
M2MoneySupply_pct1_lag1,,,0,,,,,,,,,,,,
Payroll_pct1_lag1,,,0,,,,,,,,,,,,
T10Y3M_diff1,,,0,,,,,,,,,,,,
TradeSales_pct1_lag2,,,0,,,,,,,,,,,,
Unemployment_diff1_lag1,,,0,,,,,,,,,,,,
Yield10Y_diff1,,,0,,,,,,,,,,,,
