Predictor,Num_Obs,Intercept,Beta,t_Beta,p_Beta,R2,RMSE,MAE,Cor,HitRate
CPI_pct1_diff1_lag1,1352,3.5481685897330897e-06,-0.053405067851041564,-1.9651246371476079,0.049604595739803345,0.002852370221564593,0.006556904349646035,0.004097434559123324,0.053407585805431326,0.4541420118343195
CapacityUtilization_diff1_lag1,707,8.431002134785696e-06,-5.2479595122791135e-06,-0.0305402209259036,0.97564486014237,1.322984198859345e-06,0.0032858627147673747,0.002364511720364315,0.0011502105020101607,0.43705799151343705
CoreCPI_pct1_diff1_lag1,824,1.4990987955517976e-06,-0.13533069886208451,-2.8497805162068683,0.004484340035403738,0.009783208176429303,0.003338517917175167,0.002448484253404322,0.09891010148831879,0.4866504854368932
DXY_Datastream_pct1,660,9.376394308706732e-06,-0.013326996697038976,-2.4871735064443006,0.01312293295006061,0.009313703921256078,0.0033304694985631968,0.0024401644788431083,0.09650753297673789,0.5060606060606061
FedFundsRate_diff1,858,9.142163851884656e-06,0.00037208367074348446,1.5588656343273326,0.1193978032859864,0.002830821255302318,0.0033549829250034075,0.002435516655504141,0.053205462645319626,0.45104895104895104
Housing_pct1_lag1,803,1.0262672308060138e-06,0.0030186872428182004,2.1262352023777633,0.03378890053957308,0.0056123637136724636,0.0032995463036582357,0.0024028038999191976,0.07491571072660584,0.5143212951432129
M2MoneySupply_pct1_lag1,803,-0.00028495550583319893,0.05429135911719508,2.1688726924254764,0.03038592294776578,0.00583838320875707,0.0032991712968982088,0.002393745662252751,0.07640931362574199,0.4919053549190536
Payroll_pct1_lag1,1043,1.4185896848781645e-05,-0.0033911096464122104,-0.13353562318016562,0.8937956026854867,1.7129161589912734e-05,0.004793408412880583,0.0030204589336632016,0.004138739130434512,0.4084372003835091
T10Y3M_diff1,528,1.0832072426238774e-05,-0.0003488780404609466,-0.802460528652942,0.42264902189925413,0.0012227291488438041,0.0032801546906805635,0.0024325004627038472,0.03496754422094705,0.4943181818181818
TradeSales_pct1_lag2,706,2.0153669460784146e-05,-0.005371050477469518,-0.4913475164472443,0.6233338207333884,0.0003428119594304224,0.0032876274328715316,0.0023694828431727326,0.018515181863284765,0.4830028328611898
Unemployment_diff1_lag1,934,9.92708971991193e-06,0.0002069099358390755,0.7131503711682436,0.47593123295058115,0.0005453927834262462,0.003670249648628864,0.0026179810595206394,0.0233536460413772,0.45289079229122053
Yield10Y_diff1,768,7.427205002173313e-06,6.020605227555209e-05,0.16268063027983254,0.8708128040291918,3.4548398361700094e-05,0.003287533103211681,0.002375959670183716,0.005877788560507136,0.49609375
