Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,CW_stat,CW_p,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_diff1_lag1,1918-01-01,2026-05-01,1296,-0.010880465261773997,,,-2.1581151049684006,0.03110222461562968,0.006002960228901282,0.0037988238565703166,-0.14764766777846947,0.41358024691358025,0.021799833800421275,28.837640712473345,9.321553895799617e-08
CapacityUtilization_diff1_lag1,1967-07-01,2026-05-01,704,-0.00847496950119253,,,-1.0577124603783454,0.29054986386399717,0.0033158476623450102,0.0024020760624577173,-0.08106137153475688,0.46875,0.006570945955095886,4.643315032609063,0.03151417144595751
CoreCPI_pct1_diff1_lag1,1957-08-01,2026-05-01,821,0.001988406871207604,1.5318925878193312,0.0629673156149976,0.3486414166616459,0.7274480249260749,0.0033730463749121193,0.002467694743871912,-0.007788142673253129,0.4713763702801462,6.0655166299050656e-05,0.04967959452295164,0.8236773195335487
DXY_Datastream_pct1,1971-06-01,2026-05-01,657,-0.023539648761180088,,,-1.553224486754513,0.12085179855877076,0.0034083109823922634,0.002489320890572106,-0.06116224135789834,0.4794520547945205,0.0037408197679217325,2.4594372595070775,0.11730357341198643
FedFundsRate_diff1,1954-12-01,2026-05-01,855,-0.016862533993761142,,,-1.981706435244223,0.04783236820619848,0.0034007378486150793,0.0024710440744370645,-0.05912112259763967,0.41871345029239765,0.003495307137205139,2.9919547889640756,0.08404083972287593
Housing_pct1_lag1,1959-07-01,2026-05-01,800,-0.012243010333034654,,,-0.9907651869817161,0.3221001912577416,0.0033410927191233545,0.002441160517967788,0.014753879421225443,0.5025,0.00021767695797614284,0.17374403253740148,0.6769176779195434
M2MoneySupply_pct1_lag1,1959-07-01,2026-05-01,800,-0.020250148367956466,,,-1.3691881672440653,0.17132520523645828,0.003354281199228163,0.00241980718673296,-0.024527594793231782,0.48,0.0006016029063409256,0.48036811011125813,0.48845728570518265
Payroll_pct1_lag1,1939-07-01,2026-05-01,1040,-0.025078500922309566,,,-1.2255531798721868,0.22064459260275776,0.004898016167684541,0.0031149953968684905,-0.07338312791983256,0.4548076923076923,0.005385083463298468,5.6199807000356214,0.01793872208616024
T10Y3M_diff1,1982-06-01,2026-05-01,525,-0.015348534505263745,,,-1.2686564608552942,0.20512690669735242,0.0033165528163940617,0.002442743467327607,-0.10934460346863749,0.4419047619047619,0.01195624230771375,6.328783192294326,0.012177836784702585
TradeSales_pct1_lag2,1967-08-01,2026-05-01,703,-0.005149646453964651,,,-1.7487977317325958,0.08076304638726572,0.003312901452892805,0.0024021147504563268,-0.07848481312753573,0.4352773826458037,0.0061598658916642846,4.344829557452683,0.037482928428727434
Unemployment_diff1_lag1,1948-07-01,2026-05-01,931,-0.05312820329119883,,,-1.8037113638652325,0.07160007255107638,0.0037101426716266233,0.002677887061089091,-0.04011129521748194,0.4522019334049409,0.0016089160040240191,1.4970916624735173,0.22142964728976505
Yield10Y_diff1,1962-06-01,2026-05-01,765,-0.014909473696538944,,,-1.7852659551817203,0.07461479860851634,0.0033229708221793426,0.0024330384195306795,-0.017748720892868525,0.465359477124183,0.0003150170933334806,0.24043378296493356,0.6240339603425283
