Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,R2_OOS_CT,CW_stat,CW_p,CW_stat_CT,CW_p_CT,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_diff1_lag1,1987-03-01,2026-05-01,466,0.0436869467839427,0.0589378657559219,3.87201580547905,6.16978779726107e-05,3.57196894857084,0.000193450702372089,1.15988593828568,0.246690445891336,0.00326831690326171,0.00243824262644859,0.210869527811834,0.564377682403433,0.0444659577595862,21.592327942678,4.39963272782554e-06
CapacityUtilization_diff1_lag1,1987-03-01,2026-05-01,466,-0.0099525882853555,-0.0019144757018692,NaN,NaN,NaN,NaN,-0.32078884629879,0.74851452843513,0.00335872627288838,0.0024786937407202,0.0741351064084588,0.465665236051502,0.00549601400219391,2.56424361583546,0.109985386546453
CoreCPI_pct1_diff1_lag1,1987-03-01,2026-05-01,466,0.0242966225573463,0.0386382415400354,3.70027230022617,0.000120570331174186,3.790612848579,8.38544481597259e-05,1.22204724763168,0.222308870803168,0.00330128502855226,0.00245375506713059,0.139328406144658,0.540772532188841,0.019412404758811,9.18567178679502,0.00257552358947586
DXY_Datastream_pct1,1987-03-01,2026-05-01,466,-0.00601409626056482,0.00515793649019891,NaN,NaN,1.65850679449988,0.0489062510020573,-0.315268729488975,0.75269905885764,0.00335217089665027,0.00247791474814457,0.0384684951821373,0.504291845493562,0.00147982512157818,0.687656467728206,0.407389037840045
FedFundsRate_diff1,1987-03-01,2026-05-01,466,-0.0463541328363455,-0.0219957640065651,NaN,NaN,NaN,NaN,-2.56504407930486,0.0106289337727543,0.00341871946887649,0.00250439891139648,-0.11816708251191,0.467811158798283,0.0139634593893764,6.5707962026016,0.0106806838119271
Housing_pct1_lag1,1987-03-01,2026-05-01,466,-0.0402834032987334,-0.0148746206124972,NaN,NaN,NaN,NaN,-1.96926914710995,0.0495154566835283,0.0034087876919439,0.00247678849685513,-0.0493674837203792,0.495708154506438,0.00243714844888188,1.13359963086322,0.287562568775592
M2MoneySupply_pct1_lag1,1987-03-01,2026-05-01,466,-0.0346431314808326,-0.0192384734185982,NaN,NaN,NaN,NaN,-1.55005499097251,0.12180862070729,0.0033995341458345,0.00248308351935924,0.0647758612579369,0.465665236051502,0.00419591220170734,1.95510671772482,0.162705571254002
Payroll_pct1_lag1,1987-03-01,2026-05-01,466,-1.09321982618428,-1.06355571012807,NaN,NaN,NaN,NaN,-1.03225698393833,0.30248832231611,0.00483539033374879,0.00261961552761402,0.0653123539461509,0.476394849785408,0.00426570357798728,1.98776567935674,0.159244625482095
T10Y3M_diff1,1987-03-01,2026-05-01,466,-0.0257713281557075,-0.00780743410568085,NaN,NaN,NaN,NaN,-0.926066109407466,0.354891993885711,0.00338492769376498,0.00252989683219887,-0.0139747446813137,0.497854077253219,0.00019529348890801,0.0906338790597228,0.763507710043095
TradeSales_pct1_lag2,1987-03-01,2026-05-01,466,-0.0513314643962794,-0.0340796393043665,NaN,NaN,NaN,NaN,-1.46682207452438,0.143100425994414,0.00342684096047971,0.00250875185565527,-0.050894726506742,0.482832618025751,0.00259027318619631,1.20500805845795,0.272892341361395
Unemployment_diff1_lag1,1987-03-01,2026-05-01,466,-0.326693068068899,-0.311173392441554,NaN,NaN,NaN,NaN,-1.08025397553611,0.280589059331774,0.00384954453389408,0.00255749701988593,0.0509889834189053,0.44206008583691,0.00259987643009352,1.20948718077714,0.272003965085402
Yield10Y_diff1,1987-03-01,2026-05-01,466,-0.024684398298791,0.000242801489536815,NaN,NaN,0.53451631508639,0.296605323620959,-1.06127979976268,0.289113654793732,0.00338313384652813,0.00251995248160402,-0.0466969251727611,0.482832618025751,0.0021806028205904,1.01401086370347,0.314468705956788
