Predictor,Num_Obs,Intercept,Beta,t_Beta,p_Beta,R2,RMSE,MAE,Cor,HitRate
CPI_pct1_lag1,524,7.790196241549167e-05,-0.027611532799227848,-0.6115045701015533,0.5411318090392482,0.0007158432153060446,0.0027408406685244806,0.0019411269697913337,0.026755246500571376,0.46564885496183206
CapacityUtilization_diff1_lag1,524,1.2724806346765892e-05,-3.249673263738261e-05,-0.192955865215452,0.8470685830673802,7.132051823366403e-05,0.0027417244257886345,0.0019372725328705132,0.008445147614672016,0.4675572519083969
CoreCPI_pct1_lag1,524,0.00015159334430964609,-0.05743343862909564,-0.7115992321262311,0.47703086052671284,0.0009691240009234159,0.002740493296724802,0.0019427872098185396,0.031130756510623407,0.47900763358778625
DXY_Datastream_pct1,524,1.1739080821649592e-05,0.007439802967757872,1.517936325953239,0.1296358299912348,0.0043946453113341555,0.002735790899926654,0.0019428992557344045,0.06629212103511402,0.5133587786259542
FedFundsRate_diff1,524,-6.263147989357967e-06,-0.00111071777812347,-2.440452320452423,0.015000384776084275,0.011280882686532712,0.0027263132516054498,0.0019459931217159715,0.1062114997847825,0.5133587786259542
Housing_pct1_lag1,524,1.6204390585819648e-05,-0.000844121671967494,-0.5649771523340767,0.5723320218496522,0.000611118992292603,0.002740984283775291,0.0019366795536153965,0.024720821027880115,0.517175572519084
M2MoneySupply_pct1_lag1,524,-7.11266844689536e-05,0.017266857858057073,0.7521893871987334,0.4522762092715449,0.0010827131937460877,0.002740337496099479,0.00194245666243441,0.03290460748506224,0.4866412213740458
Payroll_pct1_lag1,524,2.0940248835298503e-05,-0.007540452047788467,-0.4089130305833821,0.6827711966784864,0.000320222839391926,0.002741383169427079,0.0019378348639151218,0.017894771286384777,0.4618320610687023
T10Y3M_diff1,524,1.217818073747375e-05,-0.0002289177228303291,-0.6287915754162746,0.529760562918359,0.0007568574710372644,0.0027407844209132166,0.001940334961841772,0.027511042710834935,0.5114503816793893
TradeSales_pct1_lag2,524,1.9778374985452025e-05,-0.00332457738703353,-0.3137544461364105,0.753832884567817,0.00018855036632758893,0.0027415637036463767,0.0019393468126543483,0.013731364328704764,0.47900763358778625
Unemployment_diff1_lag1,524,1.2781803550195104e-05,3.5687254257126355e-06,0.015089717211787182,0.9879663699904857,4.362058737550356e-07,0.0027418216036226434,0.0019383961224673518,0.0006604588359325149,0.45229007633587787
