Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,R2_OOS_CT,CW_stat,CW_p,CW_stat_CT,CW_p_CT,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_lag1,1957-04-01,2025-08-01,821,0.1297913681008448,0.1308127438784814,7.7362629416089375,1.4988010832439613e-14,7.73074968900519,1.5654144647214707e-14,5.245775760691838,1.9825515796894575e-07,0.0027055001122679584,0.0019082193224729412,0.4959062330690008,0.8721071863580999,0.24592299199668613,267.0959707133795,3.5472158846893385e-52
CapcacityUtilization_diff1_lag1,1977-04-01,2025-08-01,581,-0.006746336411702858,-0.01358965017731073,,,,,-0.311039883589674,0.7558820561379838,0.002999998450579132,0.002174830757278896,0.37632334055536737,0.8795180722891566,0.1416192566467511,95.52584937791933,5.505334347596339e-21
CoreCPI_pct1_lag1,1967-04-01,2025-08-01,701,0.1349222294327589,0.13693120247825252,7.4407319811162695,1.4710455076283324e-13,7.483772439586688,1.0869083411080283e-13,5.000132848873021,7.249215942210485e-07,0.0028510161446369062,0.001983994947518886,0.4718480149673545,0.8930099857346647,0.22264054922863286,200.19791842292295,3.766649021526601e-40
DXY_Datastream_pct1,1981-03-01,2025-08-01,534,-0.011671499418502984,-0.011283948513239439,,,,,-1.027405178370748,0.3046957350820457,0.0029314092437847683,0.002076240118983455,0.19741350520652268,0.8651685393258427,0.03897209203792575,21.573934318039292,4.295661513103899e-06
FedFundsRate_diff1,1964-09-01,2025-08-01,732,0.02145574482066981,0.02476803212843004,3.064572434148846,0.0011299873498874513,3.3271920769428083,0.00046057235168794897,1.5638000304559012,0.11829732005501134,0.002990621430525842,0.0021497917125622903,0.3731971680064608,0.8920765027322405,0.1392761262080425,118.12333226444896,1.3179654655530162e-25
Housing_pct1_lag1,1969-04-01,2025-08-01,677,-0.009491132557265303,-0.009491132557265303,,,,,-1.1836785133839804,0.23695641122807792,0.0030859379466664223,0.002213007197778593,0.34799280649872383,0.8936484490398818,0.12109899337485824,93.00458175819664,1.0489544842466058e-20
M2MoneySupply_pct1_lag1,1969-04-01,2025-08-01,677,-0.01510183418124833,-0.01510183418124833,,,,,-1.3342387784658214,0.18257488977931421,0.003094501808766461,0.002199979188814707,0.34696200923960063,0.8936484490398818,0.12038263585558075,92.37912132573099,1.3849476880904695e-20
Payroll_pct1_lag1,1957-01-01,2025-08-01,824,-0.44983760368428705,-0.44208079189328076,,,,,-1.0376574533874297,0.29973432819712187,0.003487551239807891,0.0021505243805758816,0.2641504702368931,0.8701456310679612,0.06977547092637174,61.65762706622609,1.2744940928277614e-14
T10Y3M_diff1,1992-03-01,2025-08-01,402,-0.009314287972770785,-0.006661019202053975,,,,,-0.6705251718602817,0.5029090507348313,0.0027719163114830006,0.0018591775673790938,-0.0007366487531675977,0.8482587064676617,5.426513855433766e-07,0.00021706067200562504,0.9882525542286671
TradeSales_pct1_lag2,1977-05-01,2025-08-01,580,-0.011390941029430168,-0.010974434763707075,,,,,-1.732774025921626,0.08366830416353994,0.003008722601816246,0.0021496200808212925,0.36656137694260166,0.8793103448275862,0.1343672430660561,89.71964828048549,6.940305906743542e-20
Unemployment_diff1_lag1,1958-04-01,2025-08-01,809,-0.011751801481228119,-0.011266905135143501,,,,,-1.2615124932168247,0.20748832966595132,0.0029282254309571346,0.0020940991575688207,0.37949319421657424,0.8714462299134734,0.14401508445669853,135.7736229297799,4.131487162987376e-29
