Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,CW_stat,CW_p,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_lag1,1987-03-01,2026-03-01,464,-0.02989589281150784,,,-1.5154860723478123,0.1303317398835303,0.0028161444534858843,0.0020070264333117488,-0.03234112030913615,0.4375,0.0010459480628496332,0.48373396564082266,0.4870855201737797
CapacityUtilization_diff1_lag1,1987-03-01,2026-03-01,464,-0.06997392576766637,,,-1.944682005459126,0.05241840698547175,0.002870416132473388,0.002000943691406008,-0.1675023044587051,0.4504310344827586,0.028057021998976972,13.336527406357472,0.00029006651551101957
CoreCPI_pct1_lag1,1987-03-01,2026-03-01,464,-0.01910134389928153,,,-1.3168018548290445,0.18855644284336454,0.0028013472861188383,0.0019762403895843095,-0.04707230147184885,0.4978448275862069,0.0022158015658567676,1.025973677506973,0.3116363851237804
DXY_Datastream_pct1,1987-03-01,2026-03-01,464,-0.018566354026571696,,,-1.171538463265308,0.24198493176490654,0.0028006118886149877,0.0019715367968428533,-0.058465961662170975,0.4698275862068966,0.0034182686730827028,1.584656910037389,0.20872687842778595
FedFundsRate_diff1,1987-03-01,2026-03-01,464,-0.037903171022234616,,,-1.2818760144296661,0.20052766261086555,0.00282707079654751,0.002004404451121971,-0.034115672795158154,0.47413793103448276,0.0011638791302663876,0.5383387193835527,0.4634941954662105
Housing_pct1_lag1,1987-03-01,2026-03-01,464,-0.015888720516817,,,-1.170250291354497,0.24250226427145186,0.0027969283057541683,0.0019785410522549507,-0.022442095515755475,0.48060344827586204,0.0005036476511378618,0.2328024652405129,0.629682106687051
M2MoneySupply_pct1_lag1,1987-03-01,2026-03-01,464,-0.06938946783942668,,,-1.5284983957171687,0.12707170762700312,0.0028696320635421208,0.002033990745445355,-0.06191342064427338,0.4396551724137931,0.0038332716558747704,1.7777862426282018,0.183078440344281
Payroll_pct1_lag1,1987-03-01,2026-03-01,464,-0.9646590323363733,,,-1.086041593760221,0.27802569862223236,0.003889572398015551,0.0021207576326830206,-0.029568348238430776,0.44612068965517243,0.00087428721754923,0.4042741462261959,0.5252049527330209
T10Y3M_diff1,1987-03-01,2026-03-01,464,-0.03322228893628387,,,-1.2876691876881425,0.19850438698407086,0.002820688631342717,0.0019885317400106734,-0.07686146253048053,0.47198275862068967,0.005907684422324366,2.7455701652092754,0.09820317713392633
TradeSales_pct1_lag2,1987-03-01,2026-03-01,464,-0.031569340385053435,,,-0.8487052415920922,0.3964839017512968,0.002818431460026667,0.0019769665411363464,-0.030621325432533226,0.46336206896551724,0.0009376655712448612,0.43360807327685885,0.5105518237375237
Unemployment_diff1_lag1,1987-03-01,2026-03-01,464,-0.17739868757274135,,,-1.253352418015581,0.2107100231230231,0.0030110643615691842,0.002040927181677692,-0.03899471572851632,0.45905172413793105,0.0015205878547478457,0.7035814462955923,0.4020166690373165
