Key,Value
Metric,RMSE
WindowType,expanding
TrainObs,240
TimeLag,1
NumSelected,7
SelectedPredictors,CPI_adj_pct1_diff1_lag1; GBP_pct1; Housing_pct3_lag3; M2MoneySupply_pct1_lag1; T10Y3M_diff1; Unemployment_diff1_lag2; Yield10Y_diff1
OOS_Beg,2017-03-01
OOS_End,2017-07-01
Num_OOS_Obs,5
R2_OOS,0.18745430342802938
CW_stat,3.3836913775861466
CW_p,0.01384541593826738
DM_stat,2.961799321961238
DM_p,0.041480286334489164
RMSE,0.0016495046764323578
MAE,0.0014382091973026898
Cor,0.9298783687466811
HitRate,1.0
R2_MZ,0.8646737806629884
F_MZ,19.16865301267973
p_MZ,0.022054151729523068
