Key,Value
Metric,RMSE
WindowType,expanding
TrainObs,240
TimeLag,1
NumSelected,8
SelectedPredictors,CPI_pct1_diff1_lag1; CapacityUtilization_diff3_lag2; CoreCPI_pct1_diff1_lag1; Housing_pct3_lag3; M2MoneySupply_pct1_lag1; Payroll_pct1_lag2; T10Y3M_diff1; Yield10Y_diff1
OOS_Beg,2017-03-01
OOS_End,2017-07-01
Num_OOS_Obs,5
R2_OOS,0.6926122180603068
CW_stat,2.6805561367529647
CW_p,0.027598338035598618
DM_stat,2.403074912693731
DM_p,0.07410881356308237
RMSE,0.0012402592599257546
MAE,0.0011696350290165817
Cor,0.9703607185770271
HitRate,0.8
R2_MZ,0.9415999241573246
F_MZ,48.36979630097967
p_MZ,0.006098107405483988
