Key,Value
Metric,RMSE
WindowType,rolling
TrainObs,120
TimeLag,1
NumSelected,3
SelectedPredictors,CPI_adj_pct1_diff1_lag1; M2MoneySupply_pct1_lag1; T10Y3M_diff1
OOS_Beg,1992-03-01
OOS_End,2026-04-01
Num_OOS_Obs,405
R2_OOS,0.10522102924434984
CW_stat,3.5574246441792097
CW_p,0.0002094743783970636
DM_stat,1.7181730906000448
DM_p,0.08653122976501383
RMSE,0.0026857430675337086
MAE,0.0018924071204424763
Cor,0.3287117522001531
HitRate,0.5580246913580247
R2_MZ,0.10805141603449475
F_MZ,48.81976544915444
p_MZ,1.1674384222022177e-11
