Key,Value
Metric,RMSE
WindowType,rolling
TrainObs,60
TimeLag,1
NumSelected,2
SelectedPredictors,CPI_pct1_lag1; CapacityUtilization_diff1_lag1
OOS_Beg,1987-03-01
OOS_End,2026-04-01
Num_OOS_Obs,466
R2_OOS,0.09488443286985271
CW_stat,3.4824693079267814
CW_p,0.00027187619444177556
DM_stat,1.5372207297366987
DM_p,0.12491940975007679
RMSE,0.0026345302995013126
MAE,0.0019106043959454544
Cor,0.3138860463343931
HitRate,0.5515021459227468
R2_MZ,0.09852445008343658
F_MZ,50.71168579441315
p_MZ,4.100585969496361e-12
