Key,Value
Mode,oos
WindowType,expanding
ReportLag,1
NumLags,1
NumPredictors,11
MinInSample,240
AR_R2_OOS,0.019653175336090456
AR_CW_stat,2.5850169954911917
AR_CW_p,0.004956666993345683
AR_DM_stat,1.5492541622969598
AR_DM_p,0.12171611819834575
AR_RMSE,0.0026974763176734204
AR_MAE,0.0018914780234938345
AR_Cor,0.13294477607691754
AR_HitRate,0.50187265917603
AR_NumObs,805
VARX_R2_OOS,0.08011007016667293
VARX_CW_stat,4.103007209371619
VARX_CW_p,2.3916909817048726e-05
VARX_DM_stat,1.2479084041204056
VARX_DM_p,0.21266674695194218
VARX_RMSE,0.0026262748884037625
VARX_MAE,0.0019218088221832413
VARX_Cor,0.3376092787070032
VARX_HitRate,0.5802469135802469
VARX_NumObs,490
